team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Brighton,3,2018,21,8,13,19,20,15,1,0,0,1,0,2,2,4,True,West Ham
West Ham,19,2018,20,8,15,3,21,13,0,0,1,0,1,2,1,5,False,Brighton
Burnley,4,2018,3,8,12,10,22,18,0,1,0,1,1,2,2,4,True,Huddersfield
Huddersfield,10,2018,22,8,18,4,3,12,0,1,0,1,1,0,3,5,False,Burnley
Crystal Palace,7,2018,5,8,14,20,26,7,0,0,1,0,1,2,1,5,True,Wolves
Wolves,20,2018,26,8,7,7,5,14,1,0,0,1,0,4,3,1,False,Crystal Palace
Fulham,9,2018,25,8,17,1,1,4,0,0,1,1,5,1,2,5,True,Arsenal
Arsenal,1,2018,1,8,4,9,25,17,1,0,0,5,1,6,0,2,False,Fulham
Leicester,11,2018,8,8,10,8,6,11,0,0,1,1,2,4,0,4,True,Everton
Everton,8,2018,6,8,11,11,8,10,1,0,0,2,1,3,3,2,False,Leicester
Liverpool,12,2018,9,8,3,13,10,1,0,1,0,0,0,6,2,0,True,Man City
Man City,13,2018,10,8,1,12,9,3,0,1,0,0,0,6,2,0,False,Liverpool
Man Utd,14,2018,11,8,8,15,23,19,1,0,0,3,2,4,1,3,True,Newcastle
Newcastle,15,2018,23,8,19,14,11,8,0,0,1,2,3,0,2,6,False,Man Utd
Southampton,16,2018,13,8,16,6,4,2,0,0,1,0,3,1,2,5,True,Chelsea
Chelsea,6,2018,4,8,2,16,13,16,1,0,0,3,0,6,2,0,False,Southampton
Spurs,17,2018,17,8,5,5,24,20,1,0,0,1,0,6,0,2,True,Cardiff City
Cardiff City,5,2018,24,8,20,17,17,5,0,0,1,0,1,0,2,6,False,Spurs
Watford,18,2018,18,8,9,2,2,6,0,0,1,0,4,4,1,3,True,Bournemouth
Bournemouth,2,2018,2,8,6,18,18,9,1,0,0,4,0,5,1,2,False,Watford
