id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,44,13,5,5,48,32,16,23,40,0,5
2,Bournemouth,30,9,3,11,33,42,-9,23,33,1,12
3,Brighton,26,7,5,11,25,32,-7,23,37,3,13
4,Burnley,22,6,4,13,23,43,-20,23,47,1,16
5,Cardiff City,19,5,4,14,19,44,-25,23,37,1,18
6,Chelsea,47,14,5,4,40,19,21,23,31,0,4
7,Crystal Palace,22,6,4,13,23,32,-9,23,37,1,14
8,Everton,30,8,6,9,34,33,1,23,37,2,11
9,Fulham,14,3,5,15,21,51,-30,23,39,2,19
10,Huddersfield,11,2,5,16,13,40,-27,23,33,3,20
11,Leicester,31,9,4,10,29,29,0,23,37,4,9
12,Liverpool,60,19,3,1,54,13,41,23,19,2,1
13,Man City,56,18,2,3,62,17,45,23,28,1,2
14,Man Utd,44,13,5,5,46,33,13,23,44,3,6
15,Newcastle,21,5,6,12,19,31,-12,23,31,2,17
16,Southampton,22,5,7,11,25,40,-15,23,48,3,15
17,Spurs,51,17,0,6,48,23,25,23,32,1,3
18,Watford,33,9,6,8,32,32,0,23,42,2,7
19,West Ham,31,9,4,10,30,34,-4,23,42,1,10
20,Wolves,32,9,5,9,27,31,-4,23,42,1,8
