id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,63,19,6,6,65,39,26,31,54,1,4
2,Bournemouth,38,11,5,16,43,58,-15,32,51,1,12
3,Brighton,33,9,6,16,32,46,-14,31,51,3,15
4,Burnley,33,9,6,17,37,59,-22,32,61,1,17
5,Cardiff City,28,8,4,20,28,61,-33,32,57,1,18
6,Chelsea,63,19,6,7,55,34,21,32,41,0,5
7,Crystal Palace,36,10,6,16,38,43,-5,32,50,2,13
8,Everton,43,12,7,13,45,42,3,32,50,4,10
9,Fulham,17,4,5,24,30,76,-46,33,59,2,19
10,Huddersfield,14,3,5,24,18,59,-41,32,46,4,20
11,Leicester,44,13,5,14,42,43,-1,32,50,5,9
12,Liverpool,79,24,7,1,72,19,53,32,31,2,2
13,Man City,80,26,2,4,83,21,62,32,37,1,1
14,Man Utd,61,18,7,7,61,43,18,32,62,4,6
15,Newcastle,35,9,8,15,31,42,-11,32,49,2,14
16,Southampton,33,8,9,14,35,50,-15,31,61,3,16
17,Spurs,64,21,1,10,60,34,26,32,46,1,3
18,Watford,46,13,7,12,47,47,0,32,63,2,8
19,West Ham,42,12,6,14,41,48,-7,32,52,1,11
20,Wolves,47,13,8,11,40,39,1,32,62,1,7
