team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Brighton,3,2018,21,22,13,12,9,1,0,0,1,0,1,7,5,10,True,Liverpool
Liverpool,12,2018,9,22,1,3,21,13,1,0,0,1,0,18,3,1,False,Brighton
Burnley,4,2018,3,22,15,9,25,19,1,0,0,2,1,6,3,13,True,Fulham
Fulham,9,2018,25,22,19,4,3,15,0,0,1,1,2,3,5,14,False,Burnley
Cardiff City,5,2018,24,22,17,10,22,20,0,1,0,0,0,5,4,13,True,Huddersfield
Huddersfield,10,2018,22,22,20,5,24,17,0,1,0,0,0,2,5,15,False,Cardiff City
Chelsea,6,2018,4,22,4,15,23,18,1,0,0,2,1,14,5,3,True,Newcastle
Newcastle,15,2018,23,22,18,6,4,4,0,0,1,1,2,4,6,12,False,Chelsea
Crystal Palace,7,2018,5,22,14,18,18,7,0,0,1,1,2,6,4,12,True,Watford
Watford,18,2018,18,22,7,7,5,14,1,0,0,2,1,9,5,8,False,Crystal Palace
Everton,8,2018,6,22,10,2,2,12,1,0,0,2,0,8,6,8,True,Bournemouth
Bournemouth,2,2018,2,22,12,8,6,10,0,0,1,0,2,8,3,11,False,Everton
Leicester,11,2018,8,22,8,16,13,16,0,0,1,1,2,9,4,9,True,Southampton
Southampton,16,2018,13,22,16,11,8,8,1,0,0,2,1,4,7,11,False,Leicester
Man City,13,2018,10,22,2,20,26,11,1,0,0,3,0,17,2,3,True,Wolves
Wolves,20,2018,26,22,11,13,10,2,0,0,1,0,3,8,5,9,False,Man City
Spurs,17,2018,17,22,3,14,11,6,0,0,1,0,1,16,0,6,True,Man Utd
Man Utd,14,2018,11,22,6,17,17,3,1,0,0,1,0,12,5,5,False,Spurs
West Ham,19,2018,20,22,9,1,1,5,1,0,0,1,0,9,4,9,True,Arsenal
Arsenal,1,2018,1,22,5,19,20,9,0,0,1,0,1,12,5,5,False,West Ham
