id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,34,10,4,3,37,23,14,17,33,0,5
2,Bournemouth,23,7,2,8,25,28,-3,17,29,1,11
3,Brighton,21,6,3,8,20,24,-4,17,34,2,13
4,Burnley,12,3,3,11,15,33,-18,17,32,0,18
5,Cardiff City,14,4,2,11,17,33,-16,17,25,1,16
6,Chelsea,37,11,4,2,35,14,21,17,26,0,4
7,Crystal Palace,15,4,3,10,14,23,-9,17,30,1,15
8,Everton,24,6,6,5,24,22,2,17,22,2,8
9,Fulham,9,2,3,12,16,42,-26,17,27,2,20
10,Huddersfield,10,2,4,11,10,28,-18,17,26,2,19
11,Leicester,22,6,4,7,21,21,0,17,27,4,12
12,Liverpool,45,14,3,0,37,7,30,17,16,1,1
13,Man City,44,14,2,1,48,10,38,17,16,0,2
14,Man Utd,26,7,5,5,29,29,0,17,35,2,6
15,Newcastle,16,4,4,9,14,22,-8,17,26,2,14
16,Southampton,12,2,6,9,16,32,-16,17,36,1,17
17,Spurs,39,13,0,4,31,16,15,17,21,1,3
18,Watford,24,7,3,7,23,25,-2,17,29,2,10
19,West Ham,24,7,3,7,25,25,0,17,34,1,9
20,Wolves,25,7,4,6,19,19,0,17,32,0,7
