id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,0,0,0,2,2,5,-3,2,4,0,17
2,Bournemouth,6,2,0,0,4,1,3,2,3,0,6
3,Brighton,3,1,0,1,3,4,-1,2,3,0,11
4,Burnley,1,0,1,1,1,3,-2,2,2,0,15
5,Cardiff City,1,0,1,1,0,2,-2,2,3,0,16
6,Chelsea,6,2,0,0,6,2,4,2,1,0,3
7,Crystal Palace,3,1,0,1,2,2,0,2,3,1,10
8,Everton,4,1,1,0,4,3,1,2,1,1,7
9,Fulham,0,0,0,2,1,5,-4,2,1,0,18
10,Huddersfield,0,0,0,2,1,9,-8,2,4,0,20
11,Leicester,3,1,0,1,3,2,1,2,3,1,8
12,Liverpool,6,2,0,0,6,0,6,2,2,0,2
13,Man City,6,2,0,0,8,1,7,2,2,0,1
14,Man Utd,3,1,0,1,4,4,0,2,3,0,9
15,Newcastle,1,0,1,1,1,2,-1,2,4,1,12
16,Southampton,1,0,1,1,1,2,-1,2,5,0,13
17,Spurs,6,2,0,0,5,2,3,2,2,0,5
18,Watford,6,2,0,0,5,1,4,2,4,0,4
19,West Ham,0,0,0,2,1,6,-5,2,8,0,19
20,Wolves,1,0,1,1,2,4,-2,2,1,0,14
