id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,60,18,6,6,63,39,24,30,52,1,4
2,Bournemouth,38,11,5,15,43,56,-13,31,49,1,12
3,Brighton,33,9,6,14,32,42,-10,29,50,3,15
4,Burnley,30,8,6,17,35,59,-24,31,60,1,17
5,Cardiff City,28,8,4,18,27,57,-30,30,52,1,18
6,Chelsea,57,17,6,7,50,33,17,30,38,0,6
7,Crystal Palace,33,9,6,15,36,41,-5,30,50,2,14
8,Everton,40,11,7,13,43,42,1,31,49,4,11
9,Fulham,17,4,5,22,29,70,-41,31,55,2,19
10,Huddersfield,14,3,5,23,18,57,-39,31,46,4,20
11,Leicester,41,12,5,14,40,43,-3,31,50,5,10
12,Liverpool,76,23,7,1,70,18,52,31,31,2,1
13,Man City,74,24,2,4,79,21,58,30,37,1,2
14,Man Utd,58,17,7,6,58,40,18,30,59,3,5
15,Newcastle,35,9,8,14,31,40,-9,31,49,2,13
16,Southampton,30,7,9,14,34,50,-16,30,59,3,16
17,Spurs,61,20,1,9,57,32,25,30,44,1,3
18,Watford,43,12,7,11,42,44,-2,30,58,2,8
19,West Ham,42,12,6,13,41,46,-5,31,51,1,9
20,Wolves,44,12,8,10,38,36,2,30,60,1,7
