id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,12,4,0,2,12,9,3,6,11,0,6
2,Bournemouth,10,3,1,2,10,11,-1,6,8,1,8
3,Brighton,5,1,2,3,8,11,-3,6,12,0,13
4,Burnley,4,1,1,4,7,10,-3,6,11,0,16
5,Cardiff City,2,0,2,4,3,14,-11,6,8,0,19
6,Chelsea,16,5,1,0,14,4,10,6,5,0,3
7,Crystal Palace,7,2,1,3,4,6,-2,6,9,1,11
8,Everton,6,1,3,2,8,11,-3,6,10,2,12
9,Fulham,5,1,2,3,8,13,-5,6,8,0,15
10,Huddersfield,2,0,2,4,3,14,-11,6,9,1,20
11,Leicester,9,3,0,3,11,10,1,6,11,2,9
12,Liverpool,18,6,0,0,14,2,12,6,5,0,1
13,Man City,16,5,1,0,19,3,16,6,5,0,2
14,Man Utd,10,3,1,2,9,9,0,6,10,2,7
15,Newcastle,2,0,2,4,4,8,-4,6,8,1,18
16,Southampton,5,1,2,3,6,9,-3,6,11,1,14
17,Spurs,12,4,0,2,12,7,5,6,7,0,5
18,Watford,13,4,1,1,11,6,5,6,13,0,4
19,West Ham,4,1,1,4,5,11,-6,6,20,0,17
20,Wolves,9,2,3,1,6,6,0,6,6,0,10
