id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,63,19,6,7,65,40,25,32,58,1,5
2,Bournemouth,38,11,5,17,44,61,-17,33,53,1,13
3,Brighton,33,9,6,16,32,46,-14,31,51,3,16
4,Burnley,36,10,6,17,40,60,-20,33,64,1,14
5,Cardiff City,28,8,4,20,28,61,-33,32,57,1,18
6,Chelsea,66,20,6,7,57,34,23,33,43,0,3
7,Crystal Palace,39,11,6,16,39,43,-4,33,52,2,12
8,Everton,46,13,7,13,46,42,4,33,51,4,9
9,Fulham,17,4,5,24,30,76,-46,33,59,2,19
10,Huddersfield,14,3,5,25,19,63,-44,33,49,4,20
11,Leicester,47,14,5,14,46,44,2,33,50,5,7
12,Liverpool,82,25,7,1,75,20,55,33,35,2,1
13,Man City,80,26,2,4,83,21,62,32,37,1,2
14,Man Utd,61,18,7,7,61,43,18,32,62,4,6
15,Newcastle,35,9,8,16,31,43,-12,33,50,2,15
16,Southampton,33,8,9,15,36,53,-17,32,63,3,17
17,Spurs,64,21,1,10,60,34,26,32,46,1,4
18,Watford,46,13,7,12,47,47,0,32,63,2,10
19,West Ham,42,12,6,15,41,50,-9,33,53,1,11
20,Wolves,47,13,8,11,40,39,1,32,62,1,8
