id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,34,10,4,2,35,20,15,16,32,0,5
2,Bournemouth,23,7,2,7,25,26,-1,16,27,1,8
3,Brighton,21,6,3,7,19,22,-3,16,32,2,13
4,Burnley,12,3,3,10,15,32,-17,16,30,0,17
5,Cardiff City,14,4,2,10,15,30,-15,16,25,1,14
6,Chelsea,34,10,4,2,33,13,20,16,24,0,4
7,Crystal Palace,12,3,3,10,13,23,-10,16,28,1,16
8,Everton,24,6,6,4,23,19,4,16,20,2,7
9,Fulham,9,2,3,11,16,40,-24,16,25,2,20
10,Huddersfield,10,2,4,10,10,27,-17,16,25,2,18
11,Leicester,22,6,4,6,21,20,1,16,26,4,9
12,Liverpool,42,13,3,0,34,6,28,16,16,1,1
13,Man City,41,13,2,1,45,9,36,16,15,0,2
14,Man Utd,26,7,5,4,28,26,2,16,33,2,6
15,Newcastle,13,3,4,9,13,22,-9,16,25,2,15
16,Southampton,9,1,6,9,13,30,-17,16,33,1,19
17,Spurs,36,12,0,4,30,16,14,16,21,1,3
18,Watford,21,6,3,7,20,23,-3,16,29,2,12
19,West Ham,21,6,3,7,23,25,-2,16,33,1,11
20,Wolves,22,6,4,6,17,19,-2,16,31,0,10
