id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,47,14,5,6,51,36,15,25,44,0,6
2,Bournemouth,33,10,3,12,37,44,-7,25,36,1,10
3,Brighton,27,7,6,12,27,36,-9,25,41,3,13
4,Burnley,24,6,6,13,26,46,-20,25,53,1,17
5,Cardiff City,22,6,4,15,22,46,-24,25,41,1,18
6,Chelsea,50,15,5,5,45,23,22,25,31,0,4
7,Crystal Palace,26,7,5,13,26,33,-7,25,41,2,14
8,Everton,33,9,6,11,36,38,-2,26,45,3,9
9,Fulham,17,4,5,16,25,55,-30,25,44,2,19
10,Huddersfield,11,2,5,18,13,46,-33,25,34,3,20
11,Leicester,32,9,5,11,30,31,-1,25,44,4,11
12,Liverpool,62,19,5,1,56,15,41,25,21,2,2
13,Man City,62,20,2,4,68,20,48,26,33,1,1
14,Man Utd,48,14,6,5,49,35,14,25,49,3,5
15,Newcastle,24,6,6,13,21,33,-12,25,34,2,15
16,Southampton,24,5,9,11,27,42,-15,25,51,3,16
17,Spurs,57,19,0,6,51,24,27,25,32,1,3
18,Watford,34,9,7,9,33,34,-1,25,46,2,8
19,West Ham,32,9,5,11,31,38,-7,25,44,1,12
20,Wolves,38,11,5,9,33,32,1,25,47,1,7
