id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,38,11,5,3,41,25,16,19,36,0,5
2,Bournemouth,26,8,2,9,27,33,-6,19,32,1,12
3,Brighton,22,6,4,9,21,27,-6,19,36,3,13
4,Burnley,12,3,3,13,17,41,-24,19,39,0,18
5,Cardiff City,15,4,3,12,18,38,-20,19,30,1,17
6,Chelsea,40,12,4,3,37,16,21,19,26,0,4
7,Crystal Palace,19,5,4,10,17,25,-8,19,34,1,14
8,Everton,27,7,6,6,31,29,2,19,26,2,8
9,Fulham,11,2,5,12,17,43,-26,19,31,2,19
10,Huddersfield,10,2,4,13,12,34,-22,19,29,2,20
11,Leicester,28,8,4,7,24,22,2,19,31,4,7
12,Liverpool,51,16,3,0,43,7,36,19,16,1,1
13,Man City,44,14,2,3,51,15,36,19,18,1,3
14,Man Utd,32,9,5,5,37,31,6,19,37,2,6
15,Newcastle,17,4,5,10,14,26,-12,19,27,2,15
16,Southampton,15,3,6,10,20,35,-15,19,41,1,16
17,Spurs,45,15,0,4,42,18,24,19,25,1,2
18,Watford,27,8,3,8,26,27,-1,19,32,2,10
19,West Ham,27,8,3,8,27,28,-1,19,37,1,9
20,Wolves,26,7,5,7,20,22,-2,19,33,0,11
