id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,66,20,6,10,69,49,20,36,66,2,5
2,Bournemouth,42,12,6,18,52,65,-13,36,59,1,14
3,Brighton,35,9,8,19,33,55,-22,36,58,4,17
4,Burnley,40,11,7,18,44,63,-19,36,68,1,15
5,Cardiff City,31,9,4,23,30,66,-36,36,63,1,18
6,Chelsea,68,20,8,8,60,39,21,36,48,0,4
7,Crystal Palace,43,12,7,17,43,48,-5,36,55,2,12
8,Everton,50,14,8,14,50,44,6,36,53,4,9
9,Fulham,26,7,5,24,34,76,-42,36,64,2,19
10,Huddersfield,14,3,5,28,20,74,-54,36,53,4,20
11,Leicester,51,15,6,15,51,47,4,36,55,5,8
12,Liverpool,91,28,7,1,84,20,64,36,36,2,2
13,Man City,92,30,2,4,90,22,68,36,41,1,1
14,Man Utd,65,19,8,9,64,51,13,36,69,4,6
15,Newcastle,42,11,9,16,36,45,-9,36,56,2,13
16,Southampton,38,9,11,16,44,61,-17,36,70,3,16
17,Spurs,70,23,1,12,65,36,29,36,51,1,3
18,Watford,50,14,8,14,51,52,-1,36,75,3,10
19,West Ham,46,13,7,16,45,54,-9,36,58,1,11
20,Wolves,54,15,9,12,46,44,2,36,69,1,7
