id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,41,12,5,4,46,31,15,21,38,0,5
2,Bournemouth,27,8,3,10,31,40,-9,21,33,1,12
3,Brighton,26,7,5,9,24,29,-5,21,37,3,13
4,Burnley,18,5,3,13,21,42,-21,21,44,1,16
5,Cardiff City,18,5,3,13,19,41,-22,21,33,1,17
6,Chelsea,44,13,5,3,38,16,22,21,28,0,4
7,Crystal Palace,22,6,4,11,19,26,-7,21,35,1,14
8,Everton,27,7,6,8,31,31,0,21,31,2,11
9,Fulham,14,3,5,13,19,47,-28,21,35,2,19
10,Huddersfield,10,2,4,15,13,37,-24,21,30,3,20
11,Leicester,31,9,4,8,25,23,2,21,32,4,7
12,Liverpool,54,17,3,1,49,10,39,21,19,1,1
13,Man City,50,16,2,3,56,17,39,21,25,1,2
14,Man Utd,38,11,5,5,43,32,11,21,41,3,6
15,Newcastle,18,4,6,11,15,29,-14,21,30,2,15
16,Southampton,16,3,7,11,21,38,-17,21,45,2,18
17,Spurs,48,16,0,5,46,21,25,21,28,1,3
18,Watford,29,8,5,8,30,31,-1,21,37,2,8
19,West Ham,28,8,4,9,29,32,-3,21,41,1,10
20,Wolves,29,8,5,8,23,25,-2,21,39,0,9
