id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,3,1,0,2,5,6,-1,3,5,0,9
2,Bournemouth,7,2,1,0,6,3,3,3,3,1,6
3,Brighton,3,1,0,2,3,5,-2,3,4,0,12
4,Burnley,1,0,1,2,3,7,-4,3,3,0,18
5,Cardiff City,2,0,2,1,0,2,-2,3,4,0,15
6,Chelsea,9,3,0,0,8,3,5,3,2,0,3
7,Crystal Palace,3,1,0,2,3,4,-1,3,5,1,10
8,Everton,5,1,2,0,6,5,1,3,4,2,8
9,Fulham,3,1,0,2,5,7,-2,3,3,0,11
10,Huddersfield,1,0,1,2,1,9,-8,3,4,1,19
11,Leicester,6,2,0,1,5,3,2,3,4,1,7
12,Liverpool,9,3,0,0,7,0,7,3,3,0,1
13,Man City,7,2,1,0,9,2,7,3,4,0,5
14,Man Utd,3,1,0,2,4,7,-3,3,5,0,13
15,Newcastle,1,0,1,2,2,4,-2,3,7,1,16
16,Southampton,1,0,1,2,2,4,-2,3,6,1,17
17,Spurs,9,3,0,0,8,2,6,3,5,0,2
18,Watford,9,3,0,0,7,2,5,3,8,0,4
19,West Ham,0,0,0,3,2,9,-7,3,11,0,20
20,Wolves,2,0,2,1,3,5,-2,3,2,0,14
