id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,9,3,0,2,10,9,1,5,9,0,7
2,Bournemouth,10,3,1,1,10,7,3,5,8,1,5
3,Brighton,5,1,2,2,7,9,-2,5,10,0,14
4,Burnley,1,0,1,4,3,10,-7,5,9,0,20
5,Cardiff City,2,0,2,3,3,9,-6,5,7,0,17
6,Chelsea,15,5,0,0,14,4,10,5,4,0,1
7,Crystal Palace,6,2,0,3,4,6,-2,5,8,1,12
8,Everton,6,1,3,1,8,9,-1,5,9,2,10
9,Fulham,4,1,1,3,7,12,-5,5,6,0,15
10,Huddersfield,2,0,2,3,2,11,-9,5,8,1,18
11,Leicester,6,2,0,3,8,9,-1,5,9,2,11
12,Liverpool,15,5,0,0,11,2,9,5,5,0,2
13,Man City,13,4,1,0,14,3,11,5,4,0,3
14,Man Utd,9,3,0,2,8,8,0,5,9,2,8
15,Newcastle,1,0,1,4,4,8,-4,5,7,1,19
16,Southampton,5,1,2,2,6,6,0,5,9,1,13
17,Spurs,9,3,0,2,10,6,4,5,6,0,6
18,Watford,12,4,0,1,10,5,5,5,12,0,4
19,West Ham,3,1,0,4,5,11,-6,5,18,0,16
20,Wolves,8,2,2,1,5,5,0,5,5,0,9
