id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,23,7,2,2,25,14,11,11,18,0,5
2,Bournemouth,20,6,2,3,20,14,6,11,18,1,6
3,Brighton,14,4,2,5,12,16,-4,11,24,0,12
4,Burnley,8,2,2,7,12,25,-13,11,26,0,15
5,Cardiff City,5,1,2,8,9,24,-15,11,15,1,19
6,Chelsea,27,8,3,0,27,8,19,11,9,0,2
7,Crystal Palace,8,2,2,7,8,16,-8,11,19,1,14
8,Everton,18,5,3,3,19,15,4,11,14,2,9
9,Fulham,5,1,2,8,11,29,-18,11,20,1,20
10,Huddersfield,6,1,3,7,5,21,-16,11,16,1,18
11,Leicester,16,5,1,5,17,16,1,11,18,3,10
12,Liverpool,27,8,3,0,21,5,16,11,11,0,3
13,Man City,29,9,2,0,33,4,29,11,13,0,1
14,Man Utd,20,6,2,3,19,18,1,11,23,2,7
15,Newcastle,6,1,3,7,7,14,-7,11,12,1,17
16,Southampton,7,1,4,6,7,20,-13,11,21,1,16
17,Spurs,24,8,0,3,19,10,9,11,16,0,4
18,Watford,19,6,1,4,16,13,3,11,25,1,8
19,West Ham,11,3,2,6,13,17,-4,11,27,1,13
20,Wolves,15,4,3,4,11,12,-1,11,17,0,11
