id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,70,21,7,10,73,51,22,38,72,2,5
2,Bournemouth,45,13,6,19,56,70,-14,38,60,1,14
3,Brighton,36,9,9,20,35,60,-25,38,60,4,17
4,Burnley,40,11,7,20,45,68,-23,38,75,1,15
5,Cardiff City,34,10,4,24,34,69,-35,38,66,1,18
6,Chelsea,72,21,9,8,63,39,24,38,49,0,3
7,Crystal Palace,49,14,7,17,51,53,-2,38,58,2,12
8,Everton,54,15,9,14,54,46,8,38,55,4,8
9,Fulham,26,7,5,26,34,81,-47,38,68,2,19
10,Huddersfield,16,3,7,28,22,76,-54,38,55,4,20
11,Leicester,52,15,7,16,51,48,3,38,57,5,9
12,Liverpool,97,30,7,1,89,22,67,38,37,2,2
13,Man City,98,32,2,4,95,23,72,38,44,1,1
14,Man Utd,66,19,9,10,65,54,11,38,73,4,6
15,Newcastle,45,12,9,17,42,48,-6,38,57,2,13
16,Southampton,39,9,12,17,45,65,-20,38,71,3,16
17,Spurs,71,23,2,13,67,39,28,38,56,3,4
18,Watford,50,14,8,16,52,59,-7,38,77,4,11
19,West Ham,52,15,7,16,52,55,-3,38,59,1,10
20,Wolves,57,16,9,13,47,46,1,38,72,1,7
