id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,50,15,5,6,53,37,16,26,46,0,5
2,Bournemouth,33,10,3,13,37,47,-10,26,38,1,11
3,Brighton,27,7,6,13,28,39,-11,26,42,3,14
4,Burnley,27,7,6,13,29,47,-18,26,54,1,15
5,Cardiff City,25,7,4,15,24,47,-23,26,44,1,17
6,Chelsea,50,15,5,6,45,29,16,26,33,0,6
7,Crystal Palace,27,7,6,13,27,34,-7,26,44,2,13
8,Everton,33,9,6,12,36,39,-3,27,45,4,9
9,Fulham,17,4,5,17,25,58,-33,26,47,2,19
10,Huddersfield,11,2,5,19,14,48,-34,26,37,3,20
11,Leicester,32,9,5,12,31,34,-3,26,45,4,12
12,Liverpool,65,20,5,1,59,15,44,26,23,2,2
13,Man City,65,21,2,4,74,20,54,27,34,1,1
14,Man Utd,51,15,6,5,52,35,17,26,51,3,4
15,Newcastle,25,6,7,13,22,34,-12,26,37,2,16
16,Southampton,24,5,9,12,28,44,-16,26,54,3,18
17,Spurs,60,20,0,6,54,25,29,26,35,1,3
18,Watford,37,10,7,9,34,34,0,26,48,2,8
19,West Ham,33,9,6,11,32,39,-7,26,44,1,10
20,Wolves,39,11,6,9,34,33,1,26,48,1,7
