id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,18,6,0,2,19,10,9,8,13,0,4
2,Bournemouth,16,5,1,2,16,12,4,8,12,1,6
3,Brighton,8,2,2,4,9,13,-4,8,18,0,13
4,Burnley,8,2,2,4,10,12,-2,8,16,0,12
5,Cardiff City,2,0,2,6,4,17,-13,8,10,1,20
6,Chelsea,20,6,2,0,18,5,13,8,5,0,2
7,Crystal Palace,7,2,1,5,5,9,-4,8,16,1,14
8,Everton,12,3,3,2,13,12,1,8,11,2,11
9,Fulham,5,1,2,5,9,21,-12,8,13,0,17
10,Huddersfield,3,0,3,5,4,17,-13,8,13,1,18
11,Leicester,12,4,0,4,14,12,2,8,13,3,10
12,Liverpool,20,6,2,0,15,3,12,8,8,0,3
13,Man City,20,6,2,0,21,3,18,8,8,0,1
14,Man Utd,13,4,1,3,13,14,-1,8,13,2,8
15,Newcastle,2,0,2,6,6,13,-7,8,10,1,19
16,Southampton,5,1,2,5,6,14,-8,8,18,1,16
17,Spurs,18,6,0,2,15,7,8,8,12,0,5
18,Watford,13,4,1,3,11,12,-1,8,18,1,9
19,West Ham,7,2,1,5,8,13,-5,8,22,0,15
20,Wolves,15,4,3,1,9,6,3,8,13,0,7
