id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,41,12,5,5,46,32,14,22,40,0,5
2,Bournemouth,27,8,3,11,31,42,-11,22,33,1,12
3,Brighton,26,7,5,10,24,30,-6,22,37,3,13
4,Burnley,21,6,3,13,23,43,-20,22,45,1,15
5,Cardiff City,19,5,4,13,19,41,-22,22,36,1,17
6,Chelsea,47,14,5,3,40,17,23,22,29,0,4
7,Crystal Palace,22,6,4,12,20,28,-8,22,36,1,14
8,Everton,30,8,6,8,33,31,2,22,36,2,10
9,Fulham,14,3,5,14,20,49,-29,22,37,2,19
10,Huddersfield,11,2,5,15,13,37,-24,22,31,3,20
11,Leicester,31,9,4,9,26,25,1,22,34,4,8
12,Liverpool,57,18,3,1,50,10,40,22,19,1,1
13,Man City,53,17,2,3,59,17,42,22,26,1,2
14,Man Utd,41,12,5,5,44,32,12,22,43,3,6
15,Newcastle,18,4,6,12,16,31,-15,22,31,2,18
16,Southampton,19,4,7,11,23,39,-16,22,46,3,16
17,Spurs,48,16,0,6,46,22,24,22,29,1,3
18,Watford,32,9,5,8,32,32,0,22,41,2,7
19,West Ham,31,9,4,9,30,32,-2,22,41,1,9
20,Wolves,29,8,5,9,23,28,-5,22,39,1,11
