id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,38,11,5,4,42,30,12,20,38,0,5
2,Bournemouth,26,8,2,10,28,37,-9,20,32,1,12
3,Brighton,25,7,4,9,22,27,-5,20,36,3,13
4,Burnley,15,4,3,13,19,41,-22,20,40,0,18
5,Cardiff City,18,5,3,12,19,38,-19,20,32,1,16
6,Chelsea,43,13,4,3,38,16,22,20,27,0,4
7,Crystal Palace,19,5,4,11,17,26,-9,20,34,1,14
8,Everton,27,7,6,7,31,30,1,20,28,2,10
9,Fulham,14,3,5,12,18,43,-25,20,34,2,19
10,Huddersfield,10,2,4,14,12,35,-23,20,30,2,20
11,Leicester,28,8,4,8,24,23,1,20,31,4,8
12,Liverpool,54,17,3,0,48,8,40,20,17,1,1
13,Man City,47,15,2,3,54,16,38,20,21,1,2
14,Man Utd,35,10,5,5,41,32,9,20,39,3,6
15,Newcastle,18,4,6,10,15,27,-12,20,29,2,15
16,Southampton,15,3,6,11,21,38,-17,20,43,2,17
17,Spurs,45,15,0,5,43,21,22,20,28,1,3
18,Watford,28,8,4,8,27,28,-1,20,33,2,9
19,West Ham,27,8,3,9,27,30,-3,20,41,1,11
20,Wolves,29,8,5,7,23,23,0,20,35,0,7
