team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Arsenal,1,2018,1,37,5,3,21,17,0,1,0,1,1,20,7,10,True,Brighton
Brighton,3,2018,21,37,17,1,1,5,0,1,0,1,1,9,9,19,False,Arsenal
Bournemouth,2,2018,2,37,13,17,17,4,1,0,0,1,0,13,6,18,True,Spurs
Spurs,17,2018,17,37,4,2,2,13,0,0,1,0,1,23,1,13,False,Bournemouth
Cardiff City,5,2018,24,37,18,7,5,12,0,0,1,2,3,9,4,24,True,Crystal Palace
Crystal Palace,7,2018,5,37,12,5,24,18,1,0,0,3,2,13,7,17,False,Cardiff City
Chelsea,6,2018,4,37,3,18,18,10,1,0,0,3,0,21,8,8,True,Watford
Watford,18,2018,18,37,10,6,4,3,0,0,1,0,3,14,8,15,False,Chelsea
Everton,8,2018,6,37,8,4,3,15,1,0,0,2,0,15,8,14,True,Burnley
Burnley,4,2018,3,37,15,8,6,8,0,0,1,0,2,11,7,19,False,Everton
Huddersfield,10,2018,22,37,20,14,11,6,0,1,0,1,1,3,6,28,True,Man Utd
Man Utd,14,2018,11,37,6,10,22,20,0,1,0,1,1,19,9,9,False,Huddersfield
Man City,13,2018,10,37,1,11,8,9,1,0,0,1,0,31,2,4,True,Leicester
Leicester,11,2018,8,37,9,13,10,1,0,0,1,0,1,15,6,16,False,Man City
Newcastle,15,2018,23,37,14,12,9,2,0,0,1,2,3,11,9,17,True,Liverpool
Liverpool,12,2018,9,37,2,15,23,14,1,0,0,3,2,29,7,1,False,Newcastle
West Ham,19,2018,20,37,11,16,13,16,1,0,0,3,0,14,7,16,True,Southampton
Southampton,16,2018,13,37,16,19,20,11,0,0,1,0,3,9,11,17,False,West Ham
Wolves,20,2018,26,37,7,9,25,19,1,0,0,1,0,16,9,12,True,Fulham
Fulham,9,2018,25,37,19,20,26,7,0,0,1,0,1,7,5,25,False,Wolves
