id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,56,17,5,6,60,38,22,28,48,0,4
2,Bournemouth,34,10,4,14,39,53,-14,28,44,1,12
3,Brighton,27,7,6,14,29,41,-12,27,43,3,16
4,Burnley,30,8,6,14,31,50,-19,28,58,1,15
5,Cardiff City,25,7,4,17,25,55,-30,28,48,1,18
6,Chelsea,53,16,5,6,47,29,18,27,34,0,6
7,Crystal Palace,30,8,6,14,32,38,-6,28,47,2,14
8,Everton,36,10,6,12,39,39,0,28,46,4,9
9,Fulham,17,4,5,19,26,63,-37,28,49,2,19
10,Huddersfield,14,3,5,20,15,50,-35,28,39,4,20
11,Leicester,35,10,5,13,34,39,-5,28,48,4,11
12,Liverpool,69,21,6,1,64,15,49,28,26,2,1
13,Man City,68,22,2,4,75,20,55,28,34,1,2
14,Man Utd,55,16,7,5,55,36,19,28,55,3,5
15,Newcastle,31,8,7,13,26,34,-8,28,40,2,13
16,Southampton,27,6,9,13,30,46,-16,28,54,3,17
17,Spurs,60,20,0,8,55,29,26,28,39,1,3
18,Watford,40,11,7,10,39,40,-1,28,52,2,8
19,West Ham,36,10,6,12,35,41,-6,28,47,1,10
20,Wolves,40,11,7,10,35,35,0,28,55,1,7
