id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,66,20,6,7,66,40,26,33,58,1,4
2,Bournemouth,41,12,5,17,49,61,-12,34,57,1,12
3,Brighton,33,9,6,18,32,53,-21,33,53,4,17
4,Burnley,39,11,6,17,42,60,-18,34,66,1,14
5,Cardiff City,31,9,4,21,30,63,-33,34,62,1,18
6,Chelsea,66,20,6,8,57,36,21,34,44,0,5
7,Crystal Palace,39,11,6,17,40,46,-6,34,52,2,13
8,Everton,46,13,7,14,46,44,2,34,52,4,9
9,Fulham,20,5,5,24,32,76,-44,34,61,2,19
10,Huddersfield,14,3,5,26,19,67,-48,34,51,4,20
11,Leicester,47,14,5,15,46,45,1,34,52,5,7
12,Liverpool,85,26,7,1,77,20,57,34,35,2,1
13,Man City,83,27,2,4,86,22,64,33,37,1,2
14,Man Utd,64,19,7,7,63,44,19,33,63,4,6
15,Newcastle,38,10,8,16,32,43,-11,34,53,2,15
16,Southampton,36,9,9,15,39,54,-15,33,64,3,16
17,Spurs,67,22,1,10,64,34,30,33,48,1,3
18,Watford,46,13,7,13,47,48,-1,33,65,3,10
19,West Ham,42,12,6,16,42,52,-10,34,54,1,11
20,Wolves,47,13,8,12,41,42,-1,33,65,1,8
