id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,47,14,5,5,50,33,17,24,43,0,4
2,Bournemouth,33,10,3,11,37,42,-5,24,34,1,10
3,Brighton,26,7,5,12,27,36,-9,24,40,3,13
4,Burnley,23,6,5,13,25,45,-20,24,50,1,17
5,Cardiff City,19,5,4,15,20,46,-26,24,40,1,18
6,Chelsea,47,14,5,5,40,23,17,24,31,0,5
7,Crystal Palace,23,6,5,13,24,33,-9,24,39,2,15
8,Everton,33,9,6,9,35,33,2,24,41,3,8
9,Fulham,17,4,5,15,25,53,-28,24,41,2,19
10,Huddersfield,11,2,5,17,13,41,-28,24,34,3,20
11,Leicester,32,9,5,10,30,30,0,24,40,4,11
12,Liverpool,61,19,4,1,55,14,41,24,20,2,1
13,Man City,56,18,2,4,63,19,44,24,31,1,2
14,Man Utd,45,13,6,5,48,35,13,24,45,3,6
15,Newcastle,24,6,6,12,21,32,-11,24,33,2,14
16,Southampton,23,5,8,11,26,41,-15,24,50,3,16
17,Spurs,54,18,0,6,50,24,26,24,32,1,3
18,Watford,33,9,6,9,33,34,-1,24,46,2,9
19,West Ham,31,9,4,11,30,37,-7,24,43,1,12
20,Wolves,35,10,5,9,30,31,-1,24,46,1,7
