id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,21,7,0,2,22,11,11,9,15,0,4
2,Bournemouth,17,5,2,2,16,12,4,9,13,1,6
3,Brighton,11,3,2,4,10,13,-3,9,20,0,12
4,Burnley,8,2,2,5,10,17,-7,9,18,0,13
5,Cardiff City,5,1,2,6,8,19,-11,9,13,1,17
6,Chelsea,21,6,3,0,20,7,13,9,7,0,3
7,Crystal Palace,7,2,1,6,5,11,-6,9,17,1,15
8,Everton,15,4,3,2,15,12,3,9,13,2,8
9,Fulham,5,1,2,6,11,25,-14,9,16,0,18
10,Huddersfield,3,0,3,6,4,18,-14,9,13,1,19
11,Leicester,12,4,0,5,15,15,0,9,15,3,11
12,Liverpool,23,7,2,0,16,3,13,9,10,0,2
13,Man City,23,7,2,0,26,3,23,9,10,0,1
14,Man Utd,14,4,2,3,15,16,-1,9,18,2,10
15,Newcastle,2,0,2,7,6,14,-8,9,10,1,20
16,Southampton,6,1,3,5,6,14,-8,9,20,1,16
17,Spurs,21,7,0,2,16,7,9,9,12,0,5
18,Watford,16,5,1,3,13,12,1,9,19,1,7
19,West Ham,7,2,1,6,8,14,-6,9,25,0,14
20,Wolves,15,4,3,2,9,8,1,9,16,0,9
