id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,67,20,7,10,70,50,20,37,71,2,5
2,Bournemouth,45,13,6,18,53,65,-12,37,60,1,13
3,Brighton,36,9,9,19,34,56,-22,37,60,4,17
4,Burnley,40,11,7,19,44,65,-21,37,70,1,15
5,Cardiff City,31,9,4,24,32,69,-37,37,63,1,18
6,Chelsea,71,21,8,8,63,39,24,37,48,0,3
7,Crystal Palace,46,13,7,17,46,50,-4,37,55,2,12
8,Everton,53,15,8,14,52,44,8,37,53,4,8
9,Fulham,26,7,5,25,34,77,-43,37,67,2,19
10,Huddersfield,15,3,6,28,21,75,-54,37,54,4,20
11,Leicester,51,15,6,16,51,48,3,37,57,5,9
12,Liverpool,94,29,7,1,87,22,65,37,37,2,2
13,Man City,95,31,2,4,91,22,69,37,44,1,1
14,Man Utd,66,19,9,9,65,52,13,37,70,4,6
15,Newcastle,42,11,9,17,38,48,-10,37,57,2,14
16,Southampton,38,9,11,17,44,64,-20,37,71,3,16
17,Spurs,70,23,1,13,65,37,28,37,56,3,4
18,Watford,50,14,8,15,51,55,-4,37,76,3,10
19,West Ham,49,14,7,16,48,54,-6,37,59,1,11
20,Wolves,57,16,9,12,47,44,3,37,70,1,7
