id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,53,16,5,6,55,37,18,27,46,0,4
2,Bournemouth,34,10,4,13,38,48,-10,27,42,1,10
3,Brighton,27,7,6,13,28,39,-11,26,42,3,16
4,Burnley,30,8,6,13,31,48,-17,27,55,1,14
5,Cardiff City,25,7,4,16,25,52,-27,27,45,1,17
6,Chelsea,50,15,5,6,45,29,16,26,33,0,6
7,Crystal Palace,30,8,6,13,31,35,-4,27,45,2,13
8,Everton,33,9,6,12,36,39,-3,27,45,4,11
9,Fulham,17,4,5,18,26,61,-35,27,48,2,19
10,Huddersfield,11,2,5,20,14,50,-36,27,37,4,20
11,Leicester,32,9,5,13,32,38,-6,27,47,4,12
12,Liverpool,66,20,6,1,59,15,44,27,26,2,1
13,Man City,65,21,2,4,74,20,54,27,34,1,2
14,Man Utd,52,15,7,5,52,35,17,27,52,3,5
15,Newcastle,28,7,7,13,24,34,-10,27,39,2,15
16,Southampton,24,5,9,13,28,46,-18,27,54,3,18
17,Spurs,60,20,0,7,55,27,28,27,38,1,3
18,Watford,40,11,7,9,39,35,4,27,50,2,7
19,West Ham,36,10,6,11,35,40,-5,27,45,1,9
20,Wolves,40,11,7,9,35,34,1,27,53,1,8
