id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,24,7,3,2,26,15,11,12,20,0,5
2,Bournemouth,20,6,2,4,21,16,5,12,19,1,6
3,Brighton,14,4,2,6,13,18,-5,12,25,1,12
4,Burnley,9,2,3,7,12,25,-13,12,26,0,15
5,Cardiff City,8,2,2,8,11,25,-14,12,17,1,18
6,Chelsea,28,8,4,0,27,8,19,12,13,0,3
7,Crystal Palace,8,2,2,8,8,17,-9,12,20,1,16
8,Everton,19,5,4,3,19,15,4,12,17,2,9
9,Fulham,5,1,2,9,11,31,-20,12,21,1,20
10,Huddersfield,7,1,4,7,6,22,-16,12,17,1,19
11,Leicester,17,5,2,5,17,16,1,12,20,3,10
12,Liverpool,30,9,3,0,23,5,18,12,12,0,2
13,Man City,32,10,2,0,36,5,31,12,14,0,1
14,Man Utd,20,6,2,4,20,21,-1,12,24,2,8
15,Newcastle,9,2,3,7,9,15,-6,12,14,1,14
16,Southampton,8,1,5,6,8,21,-13,12,24,1,17
17,Spurs,27,9,0,3,20,10,10,12,17,0,4
18,Watford,20,6,2,4,17,14,3,12,27,1,7
19,West Ham,12,3,3,6,14,18,-4,12,28,1,13
20,Wolves,16,4,4,4,12,13,-1,12,19,0,11
