id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,0,0,0,1,0,2,-2,1,2,0,15
2,Bournemouth,3,1,0,0,2,0,2,1,1,0,3
3,Brighton,0,0,0,1,0,2,-2,1,2,0,16
4,Burnley,1,0,1,0,0,0,0,1,1,0,11
5,Cardiff City,0,0,0,1,0,2,-2,1,1,0,17
6,Chelsea,3,1,0,0,3,0,3,1,1,0,2
7,Crystal Palace,3,1,0,0,2,0,2,1,2,0,4
8,Everton,1,0,1,0,2,2,0,1,1,1,9
9,Fulham,0,0,0,1,0,2,-2,1,1,0,18
10,Huddersfield,0,0,0,1,0,3,-3,1,2,0,19
11,Leicester,0,0,0,1,1,2,-1,1,1,0,13
12,Liverpool,3,1,0,0,4,0,4,1,1,0,1
13,Man City,3,1,0,0,2,0,2,1,2,0,5
14,Man Utd,3,1,0,0,2,1,1,1,2,0,7
15,Newcastle,0,0,0,1,1,2,-1,1,2,0,14
16,Southampton,1,0,1,0,0,0,0,1,0,0,12
17,Spurs,3,1,0,0,2,1,1,1,2,0,8
18,Watford,3,1,0,0,2,0,2,1,2,0,6
19,West Ham,0,0,0,1,0,4,-4,1,2,0,20
20,Wolves,1,0,1,0,2,2,0,1,0,0,10
