id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,57,17,6,6,61,39,22,29,50,1,5
2,Bournemouth,34,10,4,15,39,54,-15,29,45,1,12
3,Brighton,30,8,6,14,30,41,-11,28,45,3,15
4,Burnley,30,8,6,15,32,53,-21,29,59,1,16
5,Cardiff City,25,7,4,18,25,57,-32,29,50,1,18
6,Chelsea,56,17,5,6,49,30,19,28,35,0,6
7,Crystal Palace,33,9,6,14,35,39,-4,29,49,2,13
8,Everton,37,10,7,12,39,39,0,29,47,4,10
9,Fulham,17,4,5,20,27,65,-38,29,51,2,19
10,Huddersfield,14,3,5,21,15,51,-36,29,41,4,20
11,Leicester,35,10,5,14,35,41,-6,29,49,4,11
12,Liverpool,70,21,7,1,64,15,49,29,28,2,2
13,Man City,71,23,2,4,76,20,56,29,36,1,1
14,Man Utd,58,17,7,5,58,38,20,29,57,3,4
15,Newcastle,31,8,7,14,26,36,-10,29,44,2,14
16,Southampton,27,6,9,14,32,49,-17,29,55,3,17
17,Spurs,61,20,1,8,56,30,26,29,42,1,3
18,Watford,43,12,7,10,41,41,0,29,57,2,8
19,West Ham,39,11,6,12,37,41,-4,29,50,1,9
20,Wolves,43,12,7,10,37,35,2,29,56,1,7
