id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,22,7,1,2,24,13,11,10,17,0,4
2,Bournemouth,20,6,2,2,19,12,7,10,14,1,6
3,Brighton,14,4,2,4,11,13,-2,10,23,0,11
4,Burnley,8,2,2,6,10,21,-11,10,22,0,15
5,Cardiff City,5,1,2,7,9,23,-14,10,13,1,17
6,Chelsea,24,7,3,0,24,7,17,10,9,0,3
7,Crystal Palace,8,2,2,6,7,13,-6,10,18,1,14
8,Everton,15,4,3,3,16,14,2,10,14,2,9
9,Fulham,5,1,2,7,11,28,-17,10,18,1,18
10,Huddersfield,3,0,3,7,4,21,-17,10,15,1,20
11,Leicester,13,4,1,5,16,16,0,10,16,3,12
12,Liverpool,26,8,2,0,20,4,16,10,10,0,2
13,Man City,26,8,2,0,27,3,24,10,12,0,1
14,Man Utd,17,5,2,3,17,17,0,10,20,2,8
15,Newcastle,3,0,3,7,6,14,-8,10,11,1,19
16,Southampton,7,1,4,5,6,14,-8,10,20,1,16
17,Spurs,21,7,0,3,16,8,8,10,14,0,5
18,Watford,19,6,1,3,16,12,4,10,20,1,7
19,West Ham,8,2,2,6,9,15,-6,10,26,1,13
20,Wolves,15,4,3,3,9,9,0,10,16,0,10
