id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,60,18,6,6,63,39,24,30,52,1,4
2,Bournemouth,37,11,4,15,41,54,-13,30,46,1,12
3,Brighton,33,9,6,14,32,42,-10,29,50,3,15
4,Burnley,30,8,6,16,34,57,-23,30,59,1,17
5,Cardiff City,28,8,4,18,27,57,-30,30,52,1,18
6,Chelsea,57,17,6,6,50,31,19,29,36,0,6
7,Crystal Palace,33,9,6,15,36,41,-5,30,50,2,14
8,Everton,37,10,7,13,41,42,-1,30,48,4,11
9,Fulham,17,4,5,21,28,68,-40,30,53,2,19
10,Huddersfield,14,3,5,22,15,53,-38,30,44,4,20
11,Leicester,38,11,5,14,38,42,-4,30,49,4,10
12,Liverpool,73,22,7,1,68,17,51,30,30,2,2
13,Man City,74,24,2,4,79,21,58,30,37,1,1
14,Man Utd,58,17,7,6,58,40,18,30,59,3,5
15,Newcastle,34,9,7,14,29,38,-9,30,47,2,13
16,Southampton,30,7,9,14,34,50,-16,30,59,3,16
17,Spurs,61,20,1,9,57,32,25,30,44,1,3
18,Watford,43,12,7,11,42,44,-2,30,58,2,8
19,West Ham,39,11,6,13,37,43,-6,30,51,1,9
20,Wolves,44,12,8,10,38,36,2,30,60,1,7
