team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Bournemouth,2,2018,2,29,12,13,10,1,0,0,1,0,1,10,4,15,True,Man City
Man City,13,2018,10,29,1,2,2,12,1,0,0,1,0,23,2,4,False,Bournemouth
Brighton,3,2018,21,29,15,10,22,20,1,0,0,1,0,8,6,14,True,Huddersfield
Huddersfield,10,2018,22,29,20,3,21,15,0,0,1,0,1,3,5,21,False,Brighton
Burnley,4,2018,3,29,16,7,5,13,0,0,1,1,3,8,6,15,True,Crystal Palace
Crystal Palace,7,2018,5,29,13,4,3,16,1,0,0,3,1,9,6,14,False,Burnley
Everton,8,2018,6,29,10,12,9,2,0,1,0,0,0,10,7,12,True,Liverpool
Liverpool,12,2018,9,29,2,8,6,10,0,1,0,0,0,21,7,1,False,Everton
Fulham,9,2018,25,29,19,6,4,6,0,0,1,1,2,4,5,20,True,Chelsea
Chelsea,6,2018,4,29,6,9,25,19,1,0,0,2,1,17,5,6,False,Fulham
Man Utd,14,2018,11,29,4,16,13,17,1,0,0,3,2,17,7,5,True,Southampton
Southampton,16,2018,13,29,17,14,11,4,0,0,1,2,3,6,9,14,False,Man Utd
Spurs,17,2018,17,29,3,1,1,5,0,1,0,1,1,20,1,8,True,Arsenal
Arsenal,1,2018,1,29,5,17,17,3,0,1,0,1,1,17,6,6,False,Spurs
Watford,18,2018,18,29,8,11,8,11,1,0,0,2,1,12,7,10,True,Leicester
Leicester,11,2018,8,29,11,18,18,8,0,0,1,1,2,10,5,14,False,Watford
West Ham,19,2018,20,29,9,15,23,14,1,0,0,2,0,11,6,12,True,Newcastle
Newcastle,15,2018,23,29,14,19,20,9,0,0,1,0,2,8,7,14,False,West Ham
Wolves,20,2018,26,29,7,5,24,18,1,0,0,2,0,12,7,10,True,Cardiff City
Cardiff City,5,2018,24,29,18,20,26,7,0,0,1,0,2,7,4,18,False,Wolves
