fixture,round,team_home,uniqueid_home,team_away,uniqueid_away,team_home_gs,team_home_gc,team_away_gs,team_away_gc,team_home_win,team_home_draw,team_home_loss,team_away_win,team_away_draw,team_away_loss
2,1,8,25,1,1,0,3,3,0,0,0,1,1,0,0
7,1,3,21,5,4,1,3,3,1,0,0,1,1,0,0
5,1,18,19,9,8,0,3,3,0,0,0,1,1,0,0
1,1,6,5,16,13,1,0,0,1,1,0,0,0,0,1
4,1,17,17,7,6,0,1,1,0,0,0,1,1,0,0
3,1,11,9,10,30,4,3,3,4,1,0,0,0,0,1
6,1,19,20,14,23,0,2,2,0,0,0,1,1,0,0
8,1,15,29,20,26,0,2,2,0,0,0,1,1,0,0
9,2,1,1,19,20,2,1,1,2,1,0,0,0,0,1
10,2,2,27,15,29,1,0,0,1,1,0,0,0,0,1
16,2,14,23,3,21,0,3,3,0,0,0,1,1,0,0
14,2,9,8,4,3,4,2,2,4,1,0,0,0,0,1
12,2,7,6,18,19,5,2,2,5,1,0,0,0,0,1
11,2,5,4,11,9,0,2,2,0,0,0,1,1,0,0
15,2,13,11,6,5,1,3,3,1,0,0,1,1,0,0
13,2,10,30,8,25,4,3,3,4,1,0,0,0,0,1
18,2,20,26,12,10,1,3,3,1,0,0,1,1,0,0
17,2,16,13,17,17,2,5,5,2,0,0,1,1,0,0
23,3,11,9,1,1,3,1,1,3,1,0,0,0,0,1
22,3,8,25,2,27,0,3,3,0,0,0,1,1,0,0
19,3,3,21,13,11,2,3,3,2,0,0,1,1,0,0
20,3,4,3,16,13,0,1,1,0,0,0,1,1,0,0
27,3,18,19,5,4,3,3,3,3,0,1,0,0,1,0
21,3,6,5,7,6,1,2,2,1,0,0,1,1,0,0
25,3,15,29,10,30,0,1,1,0,0,0,1,1,0,0
24,3,12,10,9,8,2,5,5,2,0,0,1,1,0,0
26,3,17,17,14,23,1,1,1,1,0,1,0,0,1,0
28,3,19,20,20,26,4,0,0,4,1,0,0,0,0,1
29,4,1,1,15,29,2,1,1,2,1,0,0,0,0,1
30,4,2,27,11,9,7,2,2,7,1,0,0,0,0,1
32,4,7,6,3,21,4,2,2,4,1,0,0,0,0,1
36,4,14,23,4,3,3,1,1,3,1,0,0,0,0,1
37,4,16,13,18,19,2,0,0,2,1,0,0,0,0,1
31,4,5,4,6,5,4,0,0,4,1,0,0,0,0,1
38,4,20,26,8,25,1,0,0,1,1,0,0,0,0,1
33,4,10,30,12,10,1,1,1,1,0,1,0,0,1,0
34,4,9,8,19,20,0,3,3,0,0,0,1,1,0,0
35,4,13,11,17,17,1,6,6,1,0,0,1,1,0,0
44,5,12,10,1,1,1,0,0,1,1,0,0,0,0,1
43,5,9,8,2,27,0,1,1,0,0,0,1,1,0,0
40,5,6,5,3,21,1,1,1,1,0,1,0,0,1,0
48,5,18,19,4,3,0,0,0,0,0,1,0,0,1,0
39,5,5,4,16,13,3,3,3,3,0,1,0,0,1,0
46,5,15,29,8,25,1,1,1,1,0,1,0,0,1,0
41,5,7,6,11,9,2,2,2,2,0,1,0,0,1,0
42,5,10,30,20,26,0,1,1,0,0,0,1,1,0,0
45,5,14,23,13,11,1,4,4,1,0,0,1,1,0,0
47,5,17,17,19,20,3,3,3,3,0,1,0,0,1,0
49,6,1,1,9,8,0,1,1,0,0,0,1,1,0,0
50,6,2,27,10,30,0,3,3,0,0,0,1,1,0,0
51,6,3,21,18,19,1,1,1,1,0,1,0,0,1,0
52,6,4,3,17,17,0,1,1,0,0,0,1,1,0,0
55,6,13,11,5,4,0,0,0,0,0,1,0,0,1,0
53,6,8,25,6,5,1,2,2,1,0,0,1,1,0,0
56,6,16,13,7,6,2,0,0,2,1,0,0,0,0,1
54,6,11,9,15,29,2,1,1,2,1,0,0,0,0,1
57,6,19,20,12,10,1,1,1,1,0,1,0,0,1,0
58,6,20,26,14,23,1,1,1,1,0,1,0,0,1,0
64,7,13,11,1,1,0,1,1,0,0,0,1,1,0,0
59,7,2,27,16,13,3,4,4,3,0,0,1,1,0,0
67,7,17,17,3,21,2,1,1,2,1,0,0,0,0,1
60,7,4,3,5,4,0,3,3,0,0,0,1,1,0,0
61,7,8,25,18,19,2,0,0,2,1,0,0,0,0,1
68,7,20,26,6,5,2,0,0,2,1,0,0,0,0,1
65,7,14,23,7,6,2,1,1,2,1,0,0,0,0,1
62,7,10,30,9,8,1,4,4,1,0,0,1,1,0,0
63,7,11,9,19,20,2,1,1,2,1,0,0,0,0,1
