fixture,round,team_home,uniqueid_home,team_away,uniqueid_away,team_home_gs,team_home_gc,team_away_gs,team_away_gc,team_home_win,team_home_draw,team_home_loss,team_away_win,team_away_draw,team_away_loss
368,37,15,23,12,9,2,3,3,2,0,0,1,1,0,0
362,37,2,2,17,17,1,0,0,1,1,0,0,0,0,1
367,37,13,10,11,8,1,0,0,1,1,0,0,0,0,1
380,38,18,18,19,20,1,4,4,1,0,0,1,1,0,0
372,38,4,3,1,1,1,3,3,1,0,0,1,1,0,0
378,38,16,13,10,22,1,1,1,1,0,1,0,0,1,0
373,38,7,5,2,2,5,3,3,5,1,0,0,0,0,1
374,38,9,25,15,23,0,4,4,0,0,0,1,1,0,0
376,38,12,9,20,26,2,0,0,2,1,0,0,0,0,1
375,38,11,8,6,4,0,0,0,0,0,1,0,0,1,0
379,38,17,17,8,6,2,2,2,2,0,1,0,0,1,0
377,38,14,11,5,24,0,2,2,0,0,0,1,1,0,0
371,38,3,21,13,10,1,4,4,1,0,0,1,1,0,0
