fixture,round,team_home,uniqueid_home,team_away,uniqueid_away,team_home_gs,team_home_gc,team_away_gs,team_away_gc,team_home_win,team_home_draw,team_home_loss,team_away_win,team_away_draw,team_away_loss
8,1,19,20,11,10,0,5,5,0,0,0,1,1,0,0
3,1,5,3,16,13,3,0,0,3,1,0,0,0,0,1
7,1,18,18,4,21,0,3,3,0,0,0,1,1,0,0
2,1,3,2,15,29,1,1,1,1,0,1,0,0,1,0
9,1,12,11,6,4,4,0,0,4,1,0,0,0,0,1
5,1,9,8,20,26,0,0,0,0,0,1,0,0,1,0
1,1,10,9,14,28,4,1,1,4,1,0,0,0,0,1
4,1,7,5,8,6,0,0,0,0,0,1,0,0,1,0
6,1,17,17,2,27,3,1,1,3,1,0,0,0,0,1
10,1,13,23,1,1,0,1,1,0,0,0,1,1,0,0
13,2,4,21,19,20,1,1,1,1,0,1,0,0,1,0
11,2,1,1,5,3,2,1,1,2,1,0,0,0,0,1
12,2,2,27,3,2,1,2,2,1,0,0,1,1,0,0
20,2,20,26,12,11,1,1,1,1,0,1,0,0,1,0
15,2,8,6,18,18,1,0,0,1,1,0,0,0,0,1
19,2,16,13,10,9,1,2,2,1,0,0,1,1,0,0
17,2,14,28,13,23,3,1,1,3,1,0,0,0,0,1
14,2,6,4,9,8,1,1,1,1,0,1,0,0,1,0
18,2,15,29,7,5,1,0,0,1,1,0,0,0,0,1
16,2,11,10,17,17,2,2,2,2,0,1,0,0,1,0
29,3,18,18,19,20,1,3,3,1,0,0,1,1,0,0
30,3,20,26,5,3,1,1,1,1,0,1,0,0,1,0
23,3,4,21,16,13,0,2,2,0,0,0,1,1,0,0
22,3,3,2,11,10,1,3,3,1,0,0,1,1,0,0
25,3,12,11,7,5,1,2,2,1,0,0,1,1,0,0
24,3,10,9,1,1,3,1,1,3,1,0,0,0,0,1
21,3,2,27,8,6,2,0,0,2,1,0,0,0,0,1
26,3,14,28,6,4,2,3,3,2,0,0,1,1,0,0
28,3,17,17,13,23,0,1,1,0,0,0,1,1,0,0
27,3,15,29,9,8,1,2,2,1,0,0,1,1,0,0
37,4,11,10,4,21,4,0,0,4,1,0,0,0,0,1
40,4,19,20,14,28,2,0,0,2,1,0,0,0,0,1
32,4,5,3,10,9,0,3,3,0,0,0,1,1,0,0
36,4,9,8,3,2,3,1,1,3,1,0,0,0,0,1
39,4,16,13,12,11,1,1,1,1,0,1,0,0,1,0
38,4,13,23,18,18,1,1,1,1,0,1,0,0,1,0
35,4,8,6,20,26,3,2,2,3,1,0,0,0,0,1
34,4,7,5,2,27,1,0,0,1,1,0,0,0,0,1
31,4,1,1,17,17,2,2,2,2,0,1,0,0,1,0
33,4,6,4,15,29,2,2,2,2,0,1,0,0,1,0
43,5,4,21,5,3,1,1,1,1,0,1,0,0,1,0
41,5,2,27,19,20,0,0,0,0,0,1,0,0,1,0
42,5,3,2,8,6,3,1,1,3,1,0,0,0,0,1
45,5,12,11,9,8,1,0,0,1,1,0,0,0,0,1
49,5,18,18,1,1,2,2,2,2,0,1,0,0,1,0
50,5,20,26,6,4,2,5,5,2,0,0,1,1,0,0
46,5,14,28,11,10,3,2,2,3,1,0,0,0,0,1
44,5,10,9,13,23,3,1,1,3,1,0,0,0,0,1
47,5,15,29,16,13,0,1,1,0,0,0,1,1,0,0
48,5,17,17,7,5,4,0,0,4,1,0,0,0,0,1
58,6,13,23,4,21,0,0,0,0,0,1,0,0,1,0
60,6,19,20,12,11,2,0,0,2,1,0,0,0,0,1
52,6,5,3,14,28,2,0,0,2,1,0,0,0,0,1
59,6,16,13,3,2,1,3,3,1,0,0,1,1,0,0
57,6,11,10,18,18,8,0,0,8,1,0,0,0,0,1
54,6,7,5,20,26,1,1,1,1,0,1,0,0,1,0
53,6,6,4,10,9,1,2,2,1,0,0,1,1,0,0
55,6,8,6,15,29,0,2,2,0,0,0,1,1,0,0
51,6,1,1,2,27,3,2,2,3,1,0,0,0,0,1
56,6,9,8,17,17,2,1,1,2,1,0,0,0,0,1
63,7,6,4,4,21,2,0,0,2,1,0,0,0,0,1
62,7,3,2,19,20,2,2,2,2,0,1,0,0,1,0
61,7,2,27,5,3,2,2,2,2,0,1,0,0,1,0
67,7,12,11,1,1,1,1,1,1,0,1,0,0,1,0
70,7,20,26,18,18,2,0,0,2,1,0,0,0,0,1
64,7,7,5,14,28,2,0,0,2,1,0,0,0,0,1
68,7,15,29,10,9,0,1,1,0,0,0,1,1,0,0
65,7,8,6,11,10,1,3,3,1,0,0,1,1,0,0
69,7,17,17,16,13,2,1,1,2,1,0,0,0,0,1
66,7,9,8,13,23,5,0,0,5,1,0,0,0,0,1
72,8,4,21,17,17,3,0,0,3,1,0,0,0,0,1
80,8,19,20,7,5,1,2,2,1,0,0,1,1,0,0
