fixture,round,team_home,uniqueid_home,team_away,uniqueid_away,team_home_gs,team_home_gc,team_away_gs,team_away_gc,team_home_win,team_home_draw,team_home_loss,team_away_win,team_away_draw,team_away_loss
10,1,4,4,20,20,2,1,1,2,1,0,0,0,0,1
3,1,6,6,17,17,1,1,1,1,0,1,0,0,1,0
8,1,1,1,9,9,3,4,4,3,0,0,1,1,0,0
7,1,13,13,18,18,1,1,1,1,0,1,0,0,1,0
4,1,7,7,8,8,2,1,1,2,1,0,0,0,0,1
6,1,12,12,14,14,1,1,1,1,0,1,0,0,1,0
9,1,2,2,11,11,1,3,3,1,0,0,1,1,0,0
5,1,10,10,15,15,2,1,1,2,1,0,0,0,0,1
1,1,3,3,16,16,0,1,1,0,0,0,1,1,0,0
2,1,5,5,19,19,0,1,1,0,0,0,1,1,0,0
20,2,20,20,2,2,1,0,0,1,1,0,0,0,0,1
18,2,19,19,6,6,1,2,2,1,0,0,1,1,0,0
13,2,8,8,1,1,0,0,0,0,0,1,0,0,1,0
17,2,18,18,4,4,1,2,2,1,0,0,1,1,0,0
15,2,16,16,7,7,0,2,2,0,0,0,1,1,0,0
19,2,15,15,12,12,1,2,2,1,0,0,1,1,0,0
12,2,3,3,9,9,2,0,0,2,1,0,0,0,0,1
14,2,14,14,10,10,1,4,4,1,0,0,1,1,0,0
11,2,11,11,13,13,2,0,0,2,1,0,0,0,0,1
16,2,17,17,5,5,1,0,0,1,1,0,0,0,0,1
29,3,10,10,20,20,3,1,1,3,1,0,0,0,0,1
23,3,6,6,14,14,1,0,0,1,1,0,0,0,0,1
28,3,18,18,1,1,1,3,3,1,0,0,1,1,0,0
21,3,4,4,3,3,3,0,0,3,1,0,0,0,0,1
24,3,7,7,11,11,0,1,1,0,0,0,1,1,0,0
30,3,19,19,12,12,0,0,0,0,0,1,0,0,1,0
22,3,5,5,2,2,1,1,1,1,0,1,0,0,1,0
27,3,17,17,9,9,1,1,1,1,0,1,0,0,1,0
26,3,13,13,15,15,1,1,1,1,0,1,0,0,1,0
25,3,8,8,16,16,2,1,1,2,1,0,0,0,0,1
38,4,20,20,18,18,2,4,4,2,0,0,1,1,0,0
40,4,15,15,6,6,0,3,3,0,0,0,1,1,0,0
31,4,1,1,13,13,2,1,1,2,1,0,0,0,0,1
39,4,16,16,4,4,2,2,2,2,0,1,0,0,1,0
33,4,3,3,7,7,1,1,1,1,0,1,0,0,1,0
36,4,12,12,5,5,1,2,2,1,0,0,1,1,0,0
32,4,2,2,19,19,1,0,0,1,1,0,0,0,0,1
34,4,9,9,8,8,4,1,1,4,1,0,0,0,0,1
35,4,11,11,10,10,1,2,2,1,0,0,1,1,0,0
37,4,14,14,17,17,0,4,4,0,0,0,1,1,0,0
46,5,19,19,20,20,4,2,2,4,1,0,0,0,0,1
42,5,6,6,12,12,3,1,1,3,1,0,0,0,0,1
43,5,7,7,1,1,1,4,4,1,0,0,1,1,0,0
50,5,18,18,11,11,3,1,1,3,1,0,0,0,0,1
41,5,4,4,9,9,1,2,2,1,0,0,1,1,0,0
45,5,10,10,2,2,4,0,0,4,1,0,0,0,0,1
49,5,17,17,15,15,1,0,0,1,1,0,0,0,0,1
44,5,8,8,3,3,3,0,0,3,1,0,0,0,0,1
48,5,13,13,16,16,1,0,0,1,1,0,0,0,0,1
47,5,5,5,14,14,4,1,1,4,1,0,0,0,0,1
59,6,20,20,13,13,0,3,3,0,0,0,1,1,0,0
52,6,2,2,6,6,1,0,0,1,1,0,0,0,0,1
51,6,1,1,4,4,3,0,0,3,1,0,0,0,0,1
60,6,3,3,18,18,2,0,0,2,1,0,0,0,0,1
53,6,9,9,7,7,5,1,1,5,1,0,0,0,0,1
55,6,12,12,17,17,1,2,2,1,0,0,1,1,0,0
57,6,15,15,5,5,2,3,3,2,0,0,1,1,0,0
54,6,11,11,8,8,4,1,1,4,1,0,0,0,0,1
58,6,16,16,10,10,1,3,3,1,0,0,1,1,0,0
56,6,14,14,19,19,1,1,1,1,0,1,0,0,1,0
70,7,20,20,12,12,1,1,1,1,0,1,0,0,1,0
62,7,6,6,5,5,1,1,1,1,0,1,0,0,1,0
61,7,3,3,1,1,0,1,1,0,0,0,1,1,0,0
