team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Bournemouth,2,2017,2,20,18,20,20,17,0,1,0,3,3,4,5,11,True,West Ham
West Ham,20,2017,20,20,17,2,2,18,0,1,0,3,3,4,6,10,False,Bournemouth
Chelsea,5,2017,4,20,3,3,21,12,1,0,0,2,0,13,3,4,True,Brighton
Brighton,3,2017,21,20,12,5,4,3,0,0,1,0,2,5,6,9,False,Chelsea
Crystal Palace,6,2017,5,20,16,1,1,6,0,0,1,2,3,4,6,10,True,Arsenal
Arsenal,1,2017,1,20,6,6,5,16,1,0,0,3,2,11,4,5,False,Crystal Palace
Huddersfield,8,2017,22,20,11,15,14,13,0,1,0,1,1,6,5,9,True,Stoke City
Stoke City,15,2017,14,20,13,8,22,11,0,1,0,1,1,5,5,10,False,Huddersfield
Liverpool,10,2017,9,20,4,16,16,20,1,0,0,5,0,10,8,2,True,Swansea
Swansea,16,2017,16,20,20,10,9,4,0,0,1,0,5,3,4,13,False,Liverpool
Man Utd,12,2017,11,20,2,4,3,7,0,1,0,2,2,13,4,3,True,Burnley
Burnley,4,2017,3,20,7,12,11,2,0,1,0,2,2,9,6,5,False,Man Utd
Newcastle,13,2017,23,20,15,11,10,1,0,0,1,0,1,5,3,12,True,Man City
Man City,11,2017,10,20,1,13,23,15,1,0,0,1,0,19,1,0,False,Newcastle
Spurs,17,2017,17,20,5,14,13,14,1,0,0,5,2,11,4,5,True,Southampton
Southampton,14,2017,13,20,14,17,17,5,0,0,1,2,5,4,7,9,False,Spurs
Watford,18,2017,18,20,10,9,8,8,1,0,0,2,1,7,4,9,True,Leicester
Leicester,9,2017,8,20,8,18,18,10,0,0,1,1,2,7,6,7,False,Watford
West Brom,19,2017,19,20,19,7,6,9,0,1,0,0,0,2,9,9,True,Everton
Everton,7,2017,6,20,9,19,19,19,0,1,0,0,0,7,6,7,False,West Brom
