id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,22,7,1,4,22,16,6,12,17,0,6
2,Bournemouth,13,4,1,7,11,14,-3,12,21,1,13
3,Brighton,16,4,4,4,13,13,0,12,16,0,9
4,Burnley,22,6,4,2,12,9,3,12,21,0,7
5,Chelsea,25,8,1,3,23,10,13,12,20,3,3
6,Crystal Palace,5,1,2,9,6,24,-18,12,24,0,20
7,Everton,12,3,3,6,12,24,-12,12,21,2,16
8,Huddersfield,15,4,3,5,8,17,-9,12,23,1,10
9,Leicester,13,3,4,5,16,18,-2,12,13,0,12
10,Liverpool,22,6,4,2,24,17,7,12,15,1,5
11,Man City,34,11,1,0,40,7,33,12,21,2,1
12,Man Utd,26,8,2,2,27,6,21,12,20,0,2
13,Newcastle,14,4,2,6,11,14,-3,12,23,1,11
14,Southampton,13,3,4,5,9,14,-5,12,11,0,14
15,Stoke City,13,3,4,5,15,24,-9,12,12,0,15
16,Swansea,8,2,2,8,7,15,-8,12,16,0,19
17,Spurs,23,7,2,3,20,9,11,12,13,1,4
18,Watford,18,5,3,4,19,21,-2,12,19,1,8
19,West Brom,10,2,4,6,9,18,-9,12,25,1,17
20,West Ham,9,2,3,7,11,25,-14,12,27,2,18
