id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,19,6,1,4,20,16,4,11,14,0,6
2,Bournemouth,10,3,1,7,7,14,-7,11,18,0,17
3,Brighton,15,4,3,4,11,11,0,11,15,0,8
4,Burnley,19,5,4,2,10,9,1,11,20,0,7
5,Chelsea,22,7,1,3,19,10,9,11,17,3,4
6,Crystal Palace,4,1,1,9,4,22,-18,11,22,0,20
7,Everton,11,3,2,6,10,22,-12,11,18,2,15
8,Huddersfield,15,4,3,4,8,13,-5,11,21,1,10
9,Leicester,13,3,4,4,16,16,0,11,12,0,12
10,Liverpool,19,5,4,2,21,17,4,11,14,1,5
11,Man City,31,10,1,0,38,7,31,11,20,2,1
12,Man Utd,23,7,2,2,23,5,18,11,18,0,2
13,Newcastle,14,4,2,5,10,10,0,11,22,1,11
14,Southampton,13,3,4,4,9,11,-2,11,10,0,13
15,Stoke City,12,3,3,5,13,22,-9,11,12,0,14
16,Swansea,8,2,2,7,7,13,-6,11,15,0,19
17,Spurs,23,7,2,2,20,7,13,11,12,1,3
18,Watford,15,4,3,4,17,21,-4,11,18,1,9
19,West Brom,10,2,4,5,9,14,-5,11,23,1,16
20,West Ham,9,2,3,6,11,23,-12,11,23,2,18
