id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,37,11,4,5,37,25,12,20,26,0,6
2,Bournemouth,17,4,5,11,18,31,-13,20,34,1,18
3,Brighton,21,5,6,9,15,25,-10,20,27,0,12
4,Burnley,33,9,6,5,18,17,1,20,37,0,7
5,Chelsea,42,13,3,4,34,14,20,20,23,3,3
6,Crystal Palace,18,4,6,10,18,32,-14,20,39,0,16
7,Everton,27,7,6,7,24,30,-6,20,35,2,9
8,Huddersfield,23,6,5,9,18,32,-14,20,31,3,11
9,Leicester,27,7,6,7,30,30,0,20,22,2,8
10,Liverpool,38,10,8,2,46,23,23,20,23,1,4
11,Man City,58,19,1,0,61,12,49,20,31,2,1
12,Man Utd,43,13,4,3,43,16,27,20,36,1,2
13,Newcastle,18,5,3,12,19,30,-11,20,31,2,15
14,Southampton,19,4,7,9,20,30,-10,20,23,0,14
15,Stoke City,20,5,5,10,23,41,-18,20,23,0,13
16,Swansea,13,3,4,13,11,31,-20,20,30,0,20
17,Spurs,37,11,4,5,39,20,19,20,25,2,5
18,Watford,25,7,4,9,29,35,-6,20,33,4,10
19,West Brom,15,2,9,9,14,27,-13,20,41,1,19
20,West Ham,18,4,6,10,22,38,-16,20,44,2,17
