id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,45,13,6,8,51,36,15,27,40,0,6
2,Bournemouth,31,8,7,12,31,41,-10,27,43,1,10
3,Brighton,28,6,10,11,22,36,-14,27,38,0,14
4,Burnley,36,9,9,9,21,24,-3,27,51,0,7
5,Chelsea,53,16,5,6,49,23,26,27,31,4,4
6,Crystal Palace,27,6,9,12,25,42,-17,27,50,0,15
7,Everton,34,9,7,11,32,46,-14,27,42,2,9
8,Huddersfield,27,7,6,14,23,47,-24,27,40,3,17
9,Leicester,35,9,8,10,39,40,-1,27,33,3,8
10,Liverpool,54,15,9,3,61,31,30,27,35,1,3
11,Man City,72,23,3,1,79,20,59,27,43,2,1
12,Man Utd,56,17,5,5,51,19,32,27,49,1,2
13,Newcastle,28,7,7,13,25,36,-11,27,37,2,13
14,Southampton,26,5,11,11,28,40,-12,27,39,0,18
15,Stoke City,25,6,7,14,27,53,-26,27,36,0,19
16,Swansea,27,7,6,14,20,37,-17,27,39,0,16
17,Spurs,52,15,7,5,52,24,28,27,35,2,5
18,Watford,30,8,6,13,37,47,-10,27,44,4,11
19,West Brom,20,3,11,13,21,40,-19,27,54,1,20
20,West Ham,30,7,9,11,34,46,-12,27,56,2,12
