id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,7,2,1,2,7,8,-1,5,8,0,12
2,Bournemouth,3,1,0,4,3,9,-6,5,8,0,19
3,Brighton,4,1,1,3,4,7,-3,5,3,0,16
4,Burnley,8,2,2,1,6,5,1,5,7,0,7
5,Chelsea,10,3,1,1,8,5,3,5,11,3,3
6,Crystal Palace,0,0,0,5,0,8,-8,5,14,0,20
7,Everton,4,1,1,3,2,10,-8,5,9,1,18
8,Huddersfield,8,2,2,1,5,3,2,5,7,0,6
9,Leicester,4,1,1,3,7,9,-2,5,6,0,15
10,Liverpool,8,2,2,1,9,9,0,5,9,1,8
11,Man City,13,4,1,0,16,2,14,5,9,2,1
12,Man Utd,13,4,1,0,16,2,14,5,4,0,2
13,Newcastle,9,3,0,2,6,4,2,5,12,1,4
14,Southampton,8,2,2,1,4,4,0,5,5,0,9
15,Stoke City,5,1,2,2,5,6,-1,5,4,0,13
16,Swansea,5,1,2,2,2,5,-3,5,8,0,14
17,Spurs,8,2,2,1,7,3,4,5,8,0,5
18,Watford,8,2,2,1,7,9,-2,5,5,1,11
19,West Brom,8,2,2,1,4,4,0,5,7,1,10
20,West Ham,4,1,1,3,4,10,-6,5,9,1,17
