id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,60,18,6,13,73,51,22,37,55,2,6
2,Bournemouth,41,10,11,16,43,60,-17,37,55,1,12
3,Brighton,40,9,13,15,34,50,-16,37,54,2,14
4,Burnley,54,14,12,11,35,37,-2,37,65,0,7
5,Chelsea,70,21,7,9,62,35,27,37,42,4,5
6,Crystal Palace,41,10,11,16,43,55,-12,37,70,0,11
7,Everton,49,13,10,14,43,55,-12,37,50,3,8
8,Huddersfield,37,9,10,18,28,57,-29,37,58,3,16
9,Leicester,47,12,11,14,52,55,-3,37,49,5,9
10,Liverpool,72,20,12,5,80,38,42,37,44,1,4
11,Man City,97,31,4,2,105,27,78,37,57,2,1
12,Man Utd,78,24,6,7,67,28,39,37,62,1,2
13,Newcastle,41,11,8,18,36,47,-11,37,52,2,10
14,Southampton,36,7,15,15,37,55,-18,37,60,2,17
15,Stoke City,30,6,12,19,33,67,-34,37,60,1,20
16,Swansea,33,8,9,20,27,54,-27,37,53,1,18
17,Spurs,74,22,8,7,69,32,37,37,49,2,3
18,Watford,41,11,8,18,44,63,-19,37,63,4,13
19,West Brom,31,6,13,18,31,54,-23,37,70,1,19
20,West Ham,39,9,12,16,45,67,-22,37,71,2,15
