id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,54,16,6,10,61,43,18,32,49,1,6
2,Bournemouth,38,9,11,13,41,53,-12,33,49,1,11
3,Brighton,35,8,11,13,29,43,-14,32,46,2,13
4,Burnley,49,13,10,9,31,28,3,32,60,0,7
5,Chelsea,57,17,6,9,54,31,23,32,35,4,5
6,Crystal Palace,31,7,10,16,33,52,-19,33,59,0,17
7,Everton,41,11,8,14,38,53,-15,33,45,3,9
8,Huddersfield,32,8,8,17,26,54,-28,33,51,3,16
9,Leicester,43,11,10,11,48,45,3,32,44,4,8
10,Liverpool,67,19,10,4,75,35,40,33,39,1,3
11,Man City,84,27,3,2,90,24,66,32,52,2,1
12,Man Utd,71,22,5,5,63,25,38,32,59,1,2
13,Newcastle,38,10,8,14,33,41,-8,32,45,2,10
14,Southampton,28,5,13,14,31,50,-19,32,45,1,18
15,Stoke City,27,6,9,18,30,63,-33,33,48,1,19
16,Swansea,32,8,8,16,26,45,-19,32,44,1,15
17,Spurs,67,20,7,5,64,27,37,32,42,2,4
18,Watford,37,10,7,16,42,59,-17,33,56,4,12
19,West Brom,21,3,12,18,26,52,-26,33,62,1,20
20,West Ham,34,8,10,14,40,58,-18,32,64,2,14
