team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Arsenal,1,2017,1,19,6,10,9,4,0,1,0,3,3,10,4,5,True,Liverpool
Liverpool,10,2017,9,19,4,1,1,6,0,1,0,3,3,9,8,2,False,Arsenal
Brighton,3,2017,21,19,12,18,18,10,1,0,0,1,0,5,6,8,True,Watford
Watford,18,2017,18,19,10,3,21,12,0,0,1,0,1,6,4,9,False,Brighton
Burnley,4,2017,3,19,7,17,17,5,0,0,1,0,3,9,5,5,True,Spurs
Spurs,17,2017,17,19,5,4,3,7,1,0,0,3,0,10,4,5,False,Burnley
Everton,7,2017,6,19,9,5,4,3,0,1,0,0,0,7,5,7,True,Chelsea
Chelsea,5,2017,4,19,3,7,6,9,0,1,0,0,0,12,3,4,False,Everton
Leicester,9,2017,8,19,8,12,11,2,0,1,0,2,2,7,6,6,True,Man Utd
Man Utd,12,2017,11,19,2,9,8,8,0,1,0,2,2,13,3,3,False,Leicester
Man City,11,2017,10,19,1,2,2,18,1,0,0,4,0,18,1,0,True,Bournemouth
Bournemouth,2,2017,2,19,18,11,10,1,0,0,1,0,4,4,4,11,False,Man City
Southampton,14,2017,13,19,13,8,22,11,0,1,0,1,1,4,7,8,True,Huddersfield
Huddersfield,8,2017,22,19,11,14,13,13,0,1,0,1,1,6,4,9,False,Southampton
Stoke City,15,2017,14,19,14,19,19,19,1,0,0,3,1,5,4,10,True,West Brom
West Brom,19,2017,19,19,19,15,14,14,0,0,1,1,3,2,8,9,False,Stoke City
Swansea,16,2017,16,19,20,6,5,16,0,1,0,1,1,3,4,12,True,Crystal Palace
Crystal Palace,6,2017,5,19,16,16,16,20,0,1,0,1,1,4,6,9,False,Swansea
West Ham,20,2017,20,19,17,13,23,15,0,0,1,2,3,4,5,10,True,Newcastle
Newcastle,13,2017,23,19,15,20,20,17,1,0,0,3,2,5,3,11,False,West Ham
