id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,6,2,0,2,7,8,-1,4,5,0,11
2,Bournemouth,0,0,0,4,1,8,-7,4,8,0,19
3,Brighton,4,1,1,2,3,5,-2,4,3,0,14
4,Burnley,7,2,1,1,5,4,1,4,5,0,7
5,Chelsea,9,3,0,1,8,5,3,4,10,2,3
6,Crystal Palace,0,0,0,4,0,7,-7,4,9,0,20
7,Everton,4,1,1,2,2,6,-4,4,8,1,16
8,Huddersfield,7,2,1,1,4,2,2,4,6,0,6
9,Leicester,3,1,0,3,6,8,-2,4,5,0,17
10,Liverpool,7,2,1,1,8,8,0,4,8,1,8
11,Man City,10,3,1,0,10,2,8,4,9,2,2
12,Man Utd,10,3,1,0,12,2,10,4,3,0,1
13,Newcastle,6,2,0,2,4,3,1,4,9,1,10
14,Southampton,5,1,2,1,3,4,-1,4,4,0,13
15,Stoke City,5,1,2,1,4,4,0,4,3,0,12
16,Swansea,4,1,1,2,2,5,-3,4,5,0,15
17,Spurs,7,2,1,1,7,3,4,4,7,0,5
18,Watford,8,2,2,0,7,3,4,4,3,1,4
19,West Brom,7,2,1,1,4,4,0,4,5,1,9
20,West Ham,3,1,0,3,4,10,-6,4,7,1,18
