team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Chelsea,5,2017,4,11,4,12,11,2,1,0,0,1,0,7,1,3,True,Man Utd
Man Utd,12,2017,11,11,2,5,4,4,0,0,1,0,1,7,2,2,False,Chelsea
Everton,7,2017,6,11,15,18,18,9,1,0,0,3,2,3,2,6,True,Watford
Watford,18,2017,18,11,9,7,6,15,0,0,1,2,3,4,3,4,False,Everton
Huddersfield,8,2017,22,11,10,19,19,16,1,0,0,1,0,4,3,4,True,West Brom
West Brom,19,2017,19,11,16,8,22,10,0,0,1,0,1,2,4,5,False,Huddersfield
Newcastle,13,2017,23,11,11,2,2,17,0,0,1,0,1,4,2,5,True,Bournemouth
Bournemouth,2,2017,2,11,17,13,23,11,1,0,0,1,0,3,1,7,False,Newcastle
Southampton,14,2017,13,11,13,4,3,7,0,0,1,0,1,3,4,4,True,Burnley
Burnley,4,2017,3,11,7,14,13,13,1,0,0,1,0,5,4,2,False,Southampton
Stoke City,15,2017,14,11,14,9,8,12,0,1,0,2,2,3,3,5,True,Leicester
Leicester,9,2017,8,11,12,15,14,14,0,1,0,2,2,3,4,4,False,Stoke City
Swansea,16,2017,16,11,19,3,21,8,0,0,1,0,1,2,2,7,True,Brighton
Brighton,3,2017,21,11,8,16,16,19,1,0,0,1,0,4,3,4,False,Swansea
Spurs,17,2017,17,11,3,6,5,20,1,0,0,1,0,7,2,2,True,Crystal Palace
Crystal Palace,6,2017,5,11,20,17,17,3,0,0,1,0,1,1,1,9,False,Spurs
West Ham,20,2017,20,11,18,10,9,5,0,0,1,1,4,2,3,6,True,Liverpool
Liverpool,10,2017,9,11,5,20,20,18,1,0,0,4,1,5,4,2,False,West Ham
Man City,11,2017,10,11,1,1,1,6,1,0,0,3,1,10,1,0,True,Arsenal
Arsenal,1,2017,1,11,6,11,10,1,0,0,1,1,3,6,1,4,False,Man City
