id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,25,8,1,4,23,16,7,13,17,0,4
2,Bournemouth,14,4,2,7,11,14,-3,13,23,1,13
3,Brighton,16,4,4,5,13,14,-1,13,18,0,9
4,Burnley,22,6,4,3,12,10,2,13,23,0,7
5,Chelsea,26,8,2,3,24,11,13,13,20,3,3
6,Crystal Palace,8,2,2,9,8,25,-17,13,25,0,20
7,Everton,12,3,3,7,13,28,-15,13,21,2,16
8,Huddersfield,15,4,3,6,9,19,-10,13,25,2,11
9,Leicester,14,3,5,5,17,19,-2,13,14,0,12
10,Liverpool,23,6,5,2,25,18,7,13,15,1,6
11,Man City,37,12,1,0,42,8,34,13,24,2,1
12,Man Utd,29,9,2,2,28,6,22,13,20,0,2
13,Newcastle,14,4,2,7,11,17,-6,13,24,1,14
14,Southampton,16,4,4,5,13,15,-2,13,11,0,10
15,Stoke City,13,3,4,6,16,26,-10,13,13,0,15
16,Swansea,9,2,3,8,7,15,-8,13,21,0,19
17,Spurs,24,7,3,3,21,10,11,13,14,1,5
18,Watford,21,6,3,4,22,21,1,13,21,1,8
19,West Brom,11,2,5,6,10,19,-9,13,29,1,17
20,West Ham,10,2,4,7,12,26,-14,13,27,2,18
