id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,29,9,2,5,30,20,10,16,21,0,5
2,Bournemouth,16,4,4,8,15,19,-4,16,27,1,14
3,Brighton,17,4,5,7,14,21,-7,16,21,0,13
4,Burnley,28,8,4,4,15,12,3,16,27,0,7
5,Chelsea,32,10,2,4,28,13,15,16,22,3,3
6,Crystal Palace,11,2,5,9,10,27,-17,16,31,0,20
7,Everton,19,5,4,7,20,29,-9,16,28,2,10
8,Huddersfield,18,5,3,8,11,26,-15,16,27,2,12
9,Leicester,23,6,5,5,23,22,1,16,16,0,8
10,Liverpool,30,8,6,2,34,20,14,16,21,1,4
11,Man City,46,15,1,0,48,11,37,16,29,2,1
12,Man Utd,35,11,2,3,36,11,25,16,28,1,2
13,Newcastle,15,4,3,9,16,25,-9,16,27,1,16
14,Southampton,18,4,6,6,16,19,-3,16,15,0,11
15,Stoke City,16,4,4,8,19,35,-16,16,16,0,15
16,Swansea,12,3,3,10,9,18,-9,16,23,0,19
17,Spurs,28,8,4,4,28,14,14,16,18,2,6
18,Watford,22,6,4,6,25,27,-2,16,27,2,9
19,West Brom,13,2,7,7,12,22,-10,16,37,1,17
20,West Ham,13,3,4,9,14,32,-18,16,36,2,18
