id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,42,12,6,6,45,31,14,24,34,0,6
2,Bournemouth,25,6,7,11,25,36,-11,24,38,1,12
3,Brighton,23,5,8,11,17,33,-16,24,34,0,16
4,Burnley,34,9,7,8,19,21,-2,24,44,0,8
5,Chelsea,50,15,5,4,45,16,29,24,28,3,3
6,Crystal Palace,25,6,7,11,22,37,-15,24,45,0,13
7,Everton,28,7,7,10,26,39,-13,24,41,2,9
8,Huddersfield,24,6,6,12,19,41,-22,24,36,3,14
9,Leicester,34,9,7,8,36,32,4,24,27,3,7
10,Liverpool,47,13,8,3,54,29,25,24,30,1,4
11,Man City,65,21,2,1,70,18,52,24,39,2,1
12,Man Utd,53,16,5,3,49,16,33,24,43,1,2
13,Newcastle,23,6,5,13,22,34,-12,24,35,2,15
14,Southampton,22,4,10,10,24,35,-11,24,34,0,18
15,Stoke City,23,6,5,13,25,50,-25,24,29,0,17
16,Swansea,20,5,5,14,15,35,-20,24,37,0,20
17,Spurs,45,13,6,5,47,22,25,24,30,2,5
18,Watford,26,7,5,12,33,44,-11,24,38,4,10
19,West Brom,20,3,11,10,19,31,-12,24,47,1,19
20,West Ham,26,6,8,10,30,42,-12,24,53,2,11
