id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,63,19,6,13,74,51,23,38,55,2,6
2,Bournemouth,44,11,11,16,45,61,-16,38,55,1,12
3,Brighton,40,9,13,16,34,54,-20,38,54,2,15
4,Burnley,54,14,12,12,36,39,-3,38,65,0,7
5,Chelsea,70,21,7,10,62,38,24,38,43,4,5
6,Crystal Palace,44,11,11,16,45,55,-10,38,72,0,11
7,Everton,49,13,10,15,44,58,-14,38,51,3,8
8,Huddersfield,37,9,10,19,28,58,-30,38,59,3,16
9,Leicester,47,12,11,15,56,60,-4,38,51,5,9
10,Liverpool,75,21,12,5,84,38,46,38,44,1,4
11,Man City,100,32,4,2,106,27,79,38,59,2,1
12,Man Utd,81,25,6,7,68,28,40,38,66,1,2
13,Newcastle,44,12,8,18,39,47,-8,38,52,2,10
14,Southampton,36,7,15,16,37,56,-19,38,63,2,17
15,Stoke City,33,7,12,19,35,68,-33,38,62,1,19
16,Swansea,33,8,9,21,28,56,-28,38,54,1,18
17,Spurs,77,23,8,7,74,36,38,38,50,2,3
18,Watford,41,11,8,19,44,64,-20,38,63,4,14
19,West Brom,31,6,13,19,31,56,-25,38,73,1,20
20,West Ham,42,10,12,16,48,68,-20,38,71,2,13
