id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,38,11,5,5,38,26,12,21,29,0,5
2,Bournemouth,20,5,5,11,20,32,-12,21,34,1,14
3,Brighton,22,5,7,9,15,25,-10,21,29,0,12
4,Burnley,34,9,7,5,18,17,1,21,38,0,7
5,Chelsea,45,14,3,4,39,14,25,21,24,3,2
6,Crystal Palace,19,4,7,10,18,32,-14,21,44,0,17
7,Everton,27,7,6,8,25,32,-7,21,35,2,9
8,Huddersfield,24,6,6,9,18,32,-14,21,33,3,11
9,Leicester,27,7,6,8,31,32,-1,21,24,2,8
10,Liverpool,41,11,8,2,48,24,24,21,26,1,4
11,Man City,59,19,2,0,61,12,49,21,35,2,1
12,Man Utd,44,13,5,3,43,16,27,21,38,1,3
13,Newcastle,19,5,4,12,19,30,-11,21,33,2,16
14,Southampton,20,4,8,9,20,30,-10,21,27,0,13
15,Stoke City,20,5,5,11,23,46,-23,21,24,0,15
16,Swansea,16,4,4,13,13,32,-19,21,32,0,20
17,Spurs,37,11,4,5,39,20,19,20,25,2,6
18,Watford,25,7,4,10,30,37,-7,21,37,4,10
19,West Brom,16,2,10,9,15,28,-13,21,44,1,19
20,West Ham,18,4,6,10,22,38,-16,20,44,2,18
