id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,39,11,6,5,40,28,12,22,32,0,6
2,Bournemouth,21,5,6,11,22,34,-12,22,35,1,16
3,Brighton,23,5,8,9,17,27,-10,22,31,0,12
4,Burnley,34,9,7,6,19,19,0,22,38,0,7
5,Chelsea,46,14,4,4,41,16,25,22,26,3,3
6,Crystal Palace,22,5,7,10,20,33,-13,22,45,0,14
7,Everton,27,7,6,9,25,34,-9,22,37,2,9
8,Huddersfield,24,6,6,10,18,35,-17,22,34,3,11
9,Leicester,30,8,6,8,34,32,2,22,25,2,8
10,Liverpool,44,12,8,2,50,25,25,22,26,1,4
11,Man City,62,20,2,0,64,13,51,22,36,2,1
12,Man Utd,47,14,5,3,45,16,29,22,38,1,2
13,Newcastle,22,6,4,12,20,30,-10,22,34,2,13
14,Southampton,20,4,8,10,21,32,-11,22,27,0,17
15,Stoke City,20,5,5,12,23,47,-24,22,27,0,18
16,Swansea,16,4,4,14,13,34,-21,22,34,0,20
17,Spurs,41,12,5,5,42,21,21,22,27,2,5
18,Watford,25,7,4,11,31,40,-9,22,38,4,10
19,West Brom,16,2,10,10,16,30,-14,22,46,1,19
20,West Ham,22,5,7,10,25,40,-15,22,49,2,15
