id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,51,15,6,10,58,41,17,31,47,0,6
2,Bournemouth,37,9,10,13,39,51,-12,32,47,1,10
3,Brighton,34,8,10,13,28,42,-14,31,45,1,13
4,Burnley,46,12,10,9,29,27,2,31,58,0,7
5,Chelsea,56,17,5,9,53,30,23,31,35,4,5
6,Crystal Palace,30,7,9,16,31,50,-19,32,57,0,17
7,Everton,40,11,7,14,38,53,-15,32,45,3,9
8,Huddersfield,31,8,7,17,25,53,-28,32,51,3,16
9,Leicester,43,11,10,10,47,43,4,31,43,4,8
10,Liverpool,66,19,9,4,75,35,40,32,39,1,3
11,Man City,84,27,3,1,88,21,67,31,46,2,1
12,Man Utd,68,21,5,5,60,23,37,31,56,1,2
13,Newcastle,35,9,8,14,31,40,-9,31,42,2,12
14,Southampton,28,5,13,13,29,47,-18,31,44,0,18
15,Stoke City,27,6,9,17,29,61,-32,32,44,1,19
16,Swansea,31,8,7,16,25,44,-19,31,42,1,15
17,Spurs,64,19,7,5,62,26,36,31,39,2,4
18,Watford,37,10,7,15,41,57,-16,32,54,4,11
19,West Brom,20,3,11,18,25,51,-26,32,59,1,20
20,West Ham,33,8,9,14,39,57,-18,31,63,2,14
