team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Brighton,3,2017,21,8,14,7,6,16,0,1,0,1,1,2,2,4,True,Everton
Everton,7,2017,6,8,16,3,21,14,0,1,0,1,1,2,2,4,False,Brighton
Burnley,4,2017,3,8,7,20,20,15,0,1,0,1,1,3,4,1,True,West Ham
West Ham,20,2017,20,8,15,4,3,7,0,1,0,1,1,2,2,4,False,Burnley
Crystal Palace,6,2017,5,8,20,5,4,5,1,0,0,2,1,1,0,7,True,Chelsea
Chelsea,5,2017,4,8,5,6,5,20,0,0,1,1,2,4,1,3,False,Crystal Palace
Leicester,9,2017,8,8,18,19,19,10,0,1,0,1,1,1,3,4,True,West Brom
West Brom,19,2017,19,8,10,9,8,18,0,1,0,1,1,2,4,2,False,Leicester
Liverpool,10,2017,9,8,8,12,11,2,0,1,0,0,0,3,4,1,True,Man Utd
Man Utd,12,2017,11,8,2,10,9,8,0,1,0,0,0,6,2,0,False,Liverpool
Man City,11,2017,10,8,1,15,14,17,1,0,0,7,2,7,1,0,True,Stoke City
Stoke City,15,2017,14,8,17,11,10,1,0,0,1,2,7,2,2,4,False,Man City
Southampton,14,2017,13,8,11,13,23,9,0,1,0,2,2,2,3,3,True,Newcastle
Newcastle,13,2017,23,8,9,14,13,11,0,1,0,2,2,3,2,3,False,Southampton
Swansea,16,2017,16,8,13,8,22,12,1,0,0,2,0,2,2,4,True,Huddersfield
Huddersfield,8,2017,22,8,12,16,16,13,0,0,1,0,2,2,3,3,False,Swansea
Spurs,17,2017,17,8,3,2,2,19,1,0,0,1,0,5,2,1,True,Bournemouth
Bournemouth,2,2017,2,8,19,17,17,3,0,0,1,0,1,1,1,6,False,Spurs
Watford,18,2017,18,8,4,1,1,6,1,0,0,2,1,4,3,1,True,Arsenal
Arsenal,1,2017,1,8,6,18,18,4,0,0,1,1,2,4,1,3,False,Watford
