team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Arsenal,1,2017,1,26,6,7,6,10,1,0,0,5,1,13,6,7,True,Everton
Everton,7,2017,6,26,10,1,1,6,0,0,1,1,5,8,7,11,False,Arsenal
Bournemouth,2,2017,2,26,9,15,14,18,1,0,0,2,1,8,7,11,True,Stoke City
Stoke City,15,2017,14,26,18,2,2,9,0,0,1,1,2,6,6,14,False,Bournemouth
Brighton,3,2017,21,26,13,20,20,12,1,0,0,3,1,6,9,11,True,West Ham
West Ham,20,2017,20,26,12,3,21,13,0,0,1,1,3,6,9,11,False,Brighton
Burnley,4,2017,3,26,7,11,10,1,0,1,0,1,1,9,9,8,True,Man City
Man City,11,2017,10,26,1,4,3,7,0,1,0,1,1,22,3,1,False,Burnley
Crystal Palace,6,2017,5,26,14,13,23,16,0,1,0,1,1,6,9,11,True,Newcastle
Newcastle,13,2017,23,26,16,6,5,14,0,1,0,1,1,6,7,13,False,Crystal Palace
Leicester,9,2017,8,26,8,16,16,17,0,1,0,1,1,9,8,9,True,Swansea
Swansea,16,2017,16,26,17,9,8,8,0,1,0,1,1,6,6,14,False,Leicester
Liverpool,10,2017,9,26,3,17,17,5,0,1,0,2,2,14,9,3,True,Spurs
Spurs,17,2017,17,26,5,10,9,3,0,1,0,2,2,14,7,5,False,Liverpool
Man Utd,12,2017,11,26,2,8,22,19,1,0,0,2,0,17,5,4,True,Huddersfield
Huddersfield,8,2017,22,26,19,12,11,2,0,0,1,0,2,6,6,14,False,Man Utd
Watford,18,2017,18,26,11,5,4,4,1,0,0,4,1,8,6,12,True,Chelsea
Chelsea,5,2017,4,26,4,18,18,11,0,0,1,1,4,15,5,6,False,Watford
West Brom,19,2017,19,26,20,14,13,15,0,0,1,2,3,3,11,12,True,Southampton
Southampton,14,2017,13,26,15,19,19,20,1,0,0,3,2,5,11,10,False,West Brom
