id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,45,13,6,9,51,39,12,28,41,0,6
2,Bournemouth,32,8,8,12,33,43,-10,28,44,1,11
3,Brighton,31,7,10,11,26,37,-11,28,39,0,12
4,Burnley,37,9,10,9,22,25,-3,28,52,0,7
5,Chelsea,53,16,5,7,50,25,25,28,33,4,5
6,Crystal Palace,27,6,9,13,25,43,-18,28,50,0,17
7,Everton,34,9,7,12,32,47,-15,28,43,2,9
8,Huddersfield,30,8,6,14,25,48,-23,28,41,3,14
9,Leicester,36,9,9,10,40,41,-1,28,34,3,8
10,Liverpool,57,16,9,3,65,32,33,28,35,1,3
11,Man City,75,24,3,1,82,20,62,28,44,2,1
12,Man Utd,59,18,5,5,53,20,33,28,51,1,2
13,Newcastle,29,7,8,13,27,38,-11,28,41,2,15
14,Southampton,27,5,12,11,29,41,-12,28,39,0,16
15,Stoke City,26,6,8,14,28,54,-26,28,39,0,19
16,Swansea,27,7,6,15,21,41,-20,28,39,0,18
17,Spurs,55,16,7,5,53,24,29,28,36,2,4
18,Watford,33,9,6,13,38,47,-9,28,47,4,10
19,West Brom,20,3,11,14,22,42,-20,28,55,1,20
20,West Ham,30,7,9,12,35,50,-15,28,58,2,13
