team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Arsenal,1,2017,1,4,11,2,2,19,1,0,0,3,0,2,0,2,True,Bournemouth
Bournemouth,2,2017,2,4,19,1,1,11,0,0,1,0,3,0,0,4,False,Arsenal
Brighton,3,2017,21,4,14,19,19,9,1,0,0,3,1,1,1,2,True,West Brom
West Brom,19,2017,19,4,9,3,21,14,0,0,1,1,3,2,1,1,False,Brighton
Everton,7,2017,6,4,16,17,17,5,0,0,1,0,3,1,1,2,True,Spurs
Spurs,17,2017,17,4,5,7,6,16,1,0,0,3,0,2,1,1,False,Everton
Leicester,9,2017,8,4,17,5,4,3,0,0,1,1,2,1,0,3,True,Chelsea
Chelsea,5,2017,4,4,3,9,8,17,1,0,0,2,1,3,0,1,False,Leicester
Man City,11,2017,10,4,2,10,9,8,1,0,0,5,0,3,1,0,True,Liverpool
Liverpool,10,2017,9,4,8,11,10,2,0,0,1,0,5,2,1,1,False,Man City
Southampton,14,2017,13,4,13,18,18,4,0,0,1,0,2,1,2,1,True,Watford
Watford,18,2017,18,4,4,14,13,13,1,0,0,2,0,2,2,0,False,Southampton
Stoke City,15,2017,14,4,12,12,11,1,0,1,0,2,2,1,2,1,True,Man Utd
Man Utd,12,2017,11,4,1,15,14,12,0,1,0,2,2,3,1,0,False,Stoke City
Burnley,4,2017,3,4,7,6,5,20,1,0,0,1,0,2,1,1,True,Crystal Palace
Crystal Palace,6,2017,5,4,20,4,3,7,0,0,1,0,1,0,0,4,False,Burnley
Swansea,16,2017,16,4,15,13,23,10,0,0,1,0,1,1,1,2,True,Newcastle
Newcastle,13,2017,23,4,10,16,16,15,1,0,0,1,0,2,0,2,False,Swansea
West Ham,20,2017,20,4,18,8,22,6,1,0,0,2,0,1,0,3,True,Huddersfield
Huddersfield,8,2017,22,4,6,20,20,18,0,0,1,0,2,2,1,1,False,West Ham
