id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,34,10,4,5,34,23,11,19,24,0,6
2,Bournemouth,16,4,4,11,15,28,-13,19,31,1,18
3,Brighton,21,5,6,8,15,23,-8,19,26,0,12
4,Burnley,32,9,5,5,16,15,1,19,30,0,7
5,Chelsea,39,12,3,4,32,14,18,19,23,3,3
6,Crystal Palace,18,4,6,9,16,29,-13,19,38,0,16
7,Everton,26,7,5,7,24,30,-6,19,35,2,9
8,Huddersfield,22,6,4,9,17,31,-14,19,29,3,11
9,Leicester,27,7,6,6,29,28,1,19,20,2,8
10,Liverpool,35,9,8,2,41,23,18,19,23,1,4
11,Man City,55,18,1,0,60,12,48,19,31,2,1
12,Man Utd,42,13,3,3,41,14,27,19,34,1,2
13,Newcastle,18,5,3,11,19,29,-10,19,30,2,15
14,Southampton,19,4,7,8,18,25,-7,19,21,0,13
15,Stoke City,19,5,4,10,22,40,-18,19,19,0,14
16,Swansea,13,3,4,12,11,26,-15,19,28,0,20
17,Spurs,34,10,4,5,34,18,16,19,25,2,5
18,Watford,22,6,4,9,27,34,-7,19,30,4,10
19,West Brom,14,2,8,9,14,27,-13,19,39,1,19
20,West Ham,17,4,5,10,19,35,-16,19,40,2,17
