team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Bournemouth,2,2017,2,21,14,7,6,9,1,0,0,2,1,5,5,11,True,Everton
Everton,7,2017,6,21,9,2,2,14,0,0,1,1,2,7,6,8,False,Bournemouth
Chelsea,5,2017,4,21,2,15,14,15,1,0,0,5,0,14,3,4,True,Stoke City
Stoke City,15,2017,14,21,15,5,4,2,0,0,1,0,5,5,5,11,False,Chelsea
Crystal Palace,6,2017,5,21,17,11,10,1,0,1,0,0,0,4,7,10,True,Man City
Man City,11,2017,10,21,1,6,5,17,0,1,0,0,0,19,2,0,False,Crystal Palace
Huddersfield,8,2017,22,21,11,4,3,7,0,1,0,0,0,6,6,9,True,Burnley
Burnley,4,2017,3,21,7,8,22,11,0,1,0,0,0,9,7,5,False,Huddersfield
Liverpool,10,2017,9,21,4,9,8,8,1,0,0,2,1,11,8,2,True,Leicester
Leicester,9,2017,8,21,8,10,9,4,0,0,1,1,2,7,6,8,False,Liverpool
Man Utd,12,2017,11,21,3,14,13,13,0,1,0,0,0,13,5,3,True,Southampton
Southampton,14,2017,13,21,13,12,11,3,0,1,0,0,0,4,8,9,False,Man Utd
Newcastle,13,2017,23,21,16,3,21,12,0,1,0,0,0,5,4,12,True,Brighton
Brighton,3,2017,21,21,12,13,23,16,0,1,0,0,0,5,7,9,False,Newcastle
Watford,18,2017,18,21,10,16,16,20,0,0,1,1,2,7,4,10,True,Swansea
Swansea,16,2017,16,21,20,18,18,10,1,0,0,2,1,4,4,13,False,Watford
West Brom,19,2017,19,21,19,1,1,5,0,1,0,1,1,2,10,9,True,Arsenal
Arsenal,1,2017,1,21,5,19,19,19,0,1,0,1,1,11,5,5,False,West Brom
