id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,45,13,6,10,52,41,11,29,44,0,6
2,Bournemouth,33,8,9,12,34,44,-10,29,45,1,12
3,Brighton,34,8,10,11,28,38,-10,29,42,0,10
4,Burnley,40,10,10,9,24,26,-2,29,53,0,7
5,Chelsea,53,16,5,8,50,26,24,29,34,4,5
6,Crystal Palace,27,6,9,14,27,46,-19,29,51,0,18
7,Everton,34,9,7,13,33,49,-16,29,44,3,11
8,Huddersfield,30,8,6,15,25,50,-25,29,42,3,15
9,Leicester,37,9,10,10,41,42,-1,29,36,3,8
10,Liverpool,60,17,9,3,67,32,35,29,35,1,3
11,Man City,78,25,3,1,83,20,63,29,46,2,1
12,Man Utd,62,19,5,5,56,22,34,29,54,1,2
13,Newcastle,29,7,8,14,27,40,-13,29,41,2,16
14,Southampton,28,5,13,11,29,41,-12,29,39,0,17
15,Stoke City,27,6,9,14,28,54,-26,29,40,0,19
16,Swansea,30,8,6,15,25,42,-17,29,39,0,13
17,Spurs,58,17,7,5,55,24,31,29,37,2,4
18,Watford,36,10,6,13,39,47,-8,29,49,4,9
19,West Brom,20,3,11,15,22,43,-21,29,55,1,20
20,West Ham,30,7,9,13,36,54,-18,29,61,2,14
